id,severity,bundle,phase,category,paths,observation,risk,direction,confidence
F-011,P0,core,A02,Unix permissions,src/Foundation/CanDoItAll.Infrastructure/ControlPlane | src/Modules/CanDoItAll.Modules.Security,"No explicit 0700/0600 policy is applied to control-plane, key-ring, vault-key, or secret files.",Default umask and service-account configuration can expose protected local state to other users.,Apply and verify restrictive Unix modes after creation and migration; fail closed for secret-bearing state that cannot be hardened.,Verified absence in inspected files
F-012,P1,core,A02,File watchers,tools/App/CanDoItAll.Manager/TailwindWatchSupervisorService.cs,"FileSystemWatcher errors schedule a rebuild, but there is no unified generation/fingerprint/rescan contract.","Overflow, coalescing, rename behavior, or platform differences can silently miss changes.","Treat watchers as hints, debounce by generation, and confirm state through deterministic rescan/fingerprint with polling fallback.",Verified
F-013,P0,core,A03,Host-bound persisted paths,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileControlPlaneService.cs | src/Foundation/CanDoItAll.Infrastructure/ControlPlane/FileApplicationPreferences.cs | src/Foundation/CanDoItAll.Infrastructure/Storage/Persistence/StorageBootstrapCatalogPolicy.cs,Absolute workspace roots and preferred executable paths are persisted without platform/host affinity or rebind state.,A profile copied to another OS can reinterpret a Windows path as a relative Unix name or silently select the wrong storage/application.,"Version host-bound path records, detect foreign syntax, mark unresolved, and require explicit rebind or migration.",Verified
F-014,P1,core,A03,Application data roots,src/Foundation/CanDoItAll.Infrastructure/ControlPlane/ControlPlanePaths.cs | src/Foundation/CanDoItAll.Infrastructure/Configuration/AppOptions.cs,Default roots rely on LocalApplicationData/fallback behavior without an explicit Windows/Linux/macOS data/config/state policy.,"Interactive, service, and headless deployments can place mutable or secret data in surprising locations.","Define explicit platform defaults, service overrides, path purpose, ownership, and migration behavior.",Verified
F-015,P0,core,A04,Secret provider selection,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs,"Auto selects MacOsKeychain on macOS and LinuxSecretService on Linux, but both are UnsupportedSecretVault implementations.","Startup may appear healthy while the first secret operation fails, blocking providers, storage, MCP, and plugins.",Implement and prove each advertised provider or make capability selection fail fast with actionable diagnostics.,Verified
F-016,P0,core,A04,File vault master key,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs,DataProtectionFileVault creates a random AES key and writes it as plaintext Base64 beside the ciphertext.,Copying or reading the vault directory reveals both ciphertext and its decrypting key; the name overstates protection.,"Remove it from production Auto, require an externally protected wrapping key or an OS/remote vault, and preserve only an explicit test/development mode.",Verified
F-017,P0,core,A04,Data Protection key ring,src/Foundation/CanDoItAll.Infrastructure/DependencyInjection/InfrastructureServiceCollectionExtensions.cs,ASP.NET Data Protection keys are persisted to the filesystem without an explicit cross-platform at-rest protector.,Legacy secret records and control-plane database passwords depend on key files whose confidentiality is not protected by the current configuration.,Bootstrap key-ring protection independently of the ring itself; support DPAPI on Windows and explicit secure macOS/Linux/headless strategies.,Verified
F-018,P0,core,A04,Secret migration graph,src/Modules/CanDoItAll.Modules.Security/SecurityModels.cs | src/Foundation/CanDoItAll.Infrastructure/ControlPlane/DatabaseProfileControlPlaneService.cs | src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs,"Three persistence mechanisms coexist: legacy Data Protection secret payloads, control-plane Data Protection passwords, and new vault references.",Changing one key location/provider can make the other two unreadable or create partial migrations.,"Create an explicit migration state machine with source-side decryption, staged destination writes, verification, rollback, and per-record versioning.",Verified
F-019,P1,core,A04,Secret write durability,src/Modules/CanDoItAll.Modules.Security/SecretVaults.cs,"Vault key/payload writes lack a unified atomic, permission, cross-process, rotation, and repair contract.",Concurrent startup or crash can produce mismatched key/payload generations.,"Use versioned envelopes, atomic commits, bounded locks, restrictive modes, rotation checkpoints, and explicit recovery tooling.",Verified
F-020,P0,core,A05,Composition truthfulness,src/App/CanDoItAll.Web/Program.cs | src/Modules/CanDoItAll.Modules.Security/SecurityModuleServiceCollectionExtensions.cs,Current runtime selection can register a nominal provider that is not operational on the host.,Feature UI and readiness can claim support that will fail only during work execution.,"Perform startup capability probes for mandatory providers and expose bounded, non-secret readiness diagnostics for optional features.",Verified
F-021,P1,core,A05,Platform abstractions,src/Foundation | src/MAF | tools/App,"Platform checks are distributed, but a single broad platform service would also violate current ownership boundaries.",Either branch sprawl or a god abstraction can couple unrelated modules and make testing harder.,Use small purpose-owned ports and leaf adapters selected at composition; common code continues using cross-platform .NET APIs directly.,Architecture conclusion
F-022,P0,core,A07,CI,.github/workflows-disabled/ci.yml,The only discovered CI workflow is disabled. Its main application build/test runs only on Windows.,Cross-platform regressions and even general development regressions can merge without an active repository gate.,"Restore an active workflow with Windows, Ubuntu, and macOS restore/build/stable-test gates plus targeted runtime proofs.",Verified
F-023,P1,core,A06,Installation,tools/install/Install-CanDoItAllWebApp.ps1,The installed-web-app path is Windows/PowerShell oriented.,Linux/macOS support remains a developer-only claim with no repeatable service/install/runbook path.,"Retain the Windows installer, add Unix publish/service scripts or a small cross-platform installer boundary, and document service-user paths and rollback.",Verified
F-024,P1,runtime,B01,Process host,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs,"The central workspace host already uses typed argv and cross-platform ProcessStartInfo, but Unix process-group, signal, and tree-kill behavior is not proven.",Timeouts may leave grandchildren running or terminate incompletely.,"Characterize Kill(entireProcessTree), cancellation, and stream drain on all target OSes before adding a purpose-specific native adapter.",Verified
F-025,P0,runtime,B01,Environment semantics,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceCommandEnvironmentPolicy.cs,The inherited allowlist is Windows-heavy and stored in an OrdinalIgnoreCase dictionary on every OS.,"Unix variables can be dropped or case-collapsed, while Windows-only variables are treated as universal.",Separate safe common variables from OS/tool profiles and preserve host environment key semantics.,Verified
F-026,P1,runtime,B01,Executable resolution,src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Commands/WorkspaceExecutableLocator.cs | src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/McpExecutableResolver.cs,Two resolvers have different suffix and fallback rules; the workspace locator probes Windows suffixes on Unix.,"The same capability can resolve differently in MCP, workspace tools, plugins, and Workbench.","Create one pure candidate/resolution contract with OS-specific leaf rules, execute-bit checks, stable diagnostics, and no implicit shell.",Verified
F-027,P0,runtime,B02,Workbench runtime nodes,src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureRuntimeLauncher.cs,"Runtime availability is Windows-only and every .NET, Docker, Conda, Python, or script plan is rendered as PowerShell text launched through powershell.exe/runas.","Unix hosts cannot launch runtime nodes, and ordinary direct commands inherit shell quoting/injection and presentation coupling.",Compile typed executable/argv/environment plans; execute directly; treat explicit shell scripts and optional terminal presentation as separate capabilities.,Verified
F-028,P1,runtime,B02,Python environments,src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureRuntimeLauncher.cs,Virtual environments assume Scripts/Activate.ps1.,Linux/macOS virtual environments use different layouts and do not require activation for deterministic execution.,Resolve and invoke the environment interpreter directly; keep activation only as optional terminal display behavior.,Verified
F-029,P1,runtime,B02,Elevation,src/Modules/CanDoItAll.Modules.Workbench/ProjectStructure/ProjectStructureRuntimeLauncher.cs,Elevation is modeled as Windows runas.,Mapping this automatically to sudo/pkexec would create a privilege-escalation and interactive-hang risk.,Make elevation a separate optional capability that is unavailable by default on Unix/macOS unless an explicitly governed adapter is configured.,Verified
F-030,P0,runtime,B03,Process ownership,tools/App/CanDoItAll.Manager/WorkspaceRuntimeProcessTools.cs,Windows discovery uses WMI command lines; Unix fallback only searches process name and often lacks command-line identity.,Recovery/cleanup can miss owned processes or terminate an unrelated process with the same name.,"Persist launched-process identity first, then use OS-specific discovery as a bounded recovery aid with PID/start-time/user/executable/command/workspace proof.",Verified
F-031,P1,runtime,B03,Manager Windows dependency,tools/App/CanDoItAll.Manager/CanDoItAll.Manager.csproj | tools/App/CanDoItAll.Manager/WorkspaceRuntimeProcessTools.cs,System.Management and WMI behavior live in the general Manager project.,Windows-only implementation details remain easy to call from neutral code and complicate platform analysis.,Move WMI behind a Windows-only leaf adapter/registration boundary; keep the Manager contract neutral.,Verified
F-032,P1,runtime,B04,MCP command policy,src/MAF/Common/CanDoItAll.AgentFramework.Core/Mcp/LocalMcpCommandPolicy.cs | src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/McpExecutableResolver.cs,Allowed names and executable discovery use separate case/suffix models.,"A command can pass the allowlist but resolve unexpectedly, or be rejected on one OS despite an equivalent installed executable.",Validate the resolved executable identity against a capability-owned allowlist using host-appropriate rules.,Verified
F-033,P1,runtime,B04,Playwright MCP setup,src/MAF/Common/CanDoItAll.AgentFramework.Core/Mcp/PlaywrightMcpLaunchResolver.cs,Resolver recursively scans a global npx cache and chooses the most recently written cli.js.,Selection is nondeterministic and can cross workspace/user trust boundaries.,"Use a controlled, versioned application tool root with explicit integrity/version evidence; do not depend on global cache discovery for production.",Verified
F-034,P1,runtime,B04,Duplicate process runners,src/MAF/Tools/CanDoItAll.AgentFramework.Tools/External/ExternalProcessToolInvoker.cs | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs,"External tools implement an independent local runner with distinct timeout, output, and kill behavior.",Security and portability fixes can land in one runner but not the other.,Reuse one execution primitive or explicitly prove why a separate boundary is required; share tested low-level process semantics.,Verified
F-035,P1,runtime,B04,Diagnostics leakage,src/MAF/Tools/CanDoItAll.AgentFramework.Tools/External/ExternalProcessToolInvoker.cs | src/MAF/Mcp/CanDoItAll.AgentFramework.Mcp/Runtime/LocalStdioMcpEnvironmentBinder.cs,External process stdout/stderr and environment bindings can flow into diagnostic messages.,"Secrets or sensitive local paths can be captured in receipts, CI logs, or agent context.","Persist only approved environment names, cap/redact output, and route secret values through the runtime secret boundary.",Verified
F-036,P1,runtime,B05,Docker plugin,src/plugins/Implementations/CanDoItAll.Plugin.Docker/DockerHostToolService.cs,The Docker plugin constructs LocalWorkspaceProcessHost directly and maintains its own executable/environment policy.,"It bypasses owned process registries, composition-selected adapters, and later portability fixes.","Inject the authoritative host execution port, capability probe, and environment policy.",Verified
F-037,P1,runtime,B05,External FileTools package,src/Integration/CanDoItAll.FileTools.Integration/CanDoItAll.FileTools.Integration.csproj | src/Integration/CanDoItAll.FileTools.Integration/ConfiguredDesktopFileLauncher.cs,Desktop launch behavior is owned by package 0.1.18 outside this repository.,The main application can claim macOS/Linux support without package/runtime evidence.,"Run a pinned compatibility matrix, record package capabilities, and fail closed or quarantine desktop launch when the package lacks a supported adapter.","Verified dependency, behavior requires execution"
F-038,P0,runtime,B06,Process architecture ownership,codex/bundles/MAF-Refactor/adrs/ADR-007-process-semantics-owned-by-processes.md | src/Processes/Drivers/CanDoItAll.Processes.Drivers.Abstractions/ProcessDriverDescriptor.cs,The current refactor intentionally moved process semantics and recovery to Processes.,A generic OS-service refactor inside MAF or Infrastructure could reintroduce reverse ownership and duplicate domain policy.,"Expose narrow host capabilities at execution boundaries; let Processes own eligibility, strategy, recovery, evidence, and domain failure semantics.",Verified architectural invariant
F-039,P1,runtime,B06,Process driver platform layer,src/Processes/Drivers/CanDoItAll.Processes.Drivers.Abstractions/ProcessDriverDescriptor.cs,ProcessDriverLayer.Platform exists and could be misread as a generic OS abstraction layer.,Host implementation facts become process-domain truth or vice versa.,Use the layer only for process strategy packages that require declared host capabilities; do not move filesystem/secrets/process primitives into process drivers.,Architecture conclusion
F-040,P1,runtime,B07,Cross-platform runtime evidence,.github/workflows-disabled/ci.yml | tests/Playwright/CanDoItAll.Tests.Playwright/PlaywrightAppFixture.cs,"There is no active Windows/Linux/macOS runtime-node, Manager, MCP, or plugin proof.","A successful neutral build can mask runtime-only failures in process, terminal, desktop, or secret integration.",Add focused actual-host tests and failure injection after the core portability gate lands.,Verified
F-041,P2,shared,positive,Portable foundation,CanDoItAll.slnx | src/MAF/Common/CanDoItAll.AgentFramework.Core/Workspace/Process/LocalWorkspaceProcessHost.cs,Projects target neutral net10.0 and the central workspace process host already uses direct typed arguments.,None; this reduces required rewrite scope.,Preserve and extend these foundations rather than replacing them with a new parallel runtime.,Verified
F-042,P2,shared,positive,Current architecture,src/Processes | src/Processes/Drivers | src/Foundation/CanDoItAll.Security.Abstractions,"Recent refactors created clearer process, runtime, and security boundaries.",Portability changes could accidentally collapse these new boundaries.,Treat the latest architecture as authoritative and add portability through purpose-owned adapters.,Verified
