task_id,phase,task_title,feature_id,feature_category,feature_name
T02,P0,Write-behind canvas state persistence and committed-state ownership,F36,Overlay isolation,Scrolling and clicking inside toolbox and floating windows never leak into canvas pan/zoom/drag handlers
T02,P0,Write-behind canvas state persistence and committed-state ownership,F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T03,P0,Delta move flow and removal of full reload-after-move,F08,Selection window,"Multi-select common actions, batch status/progress/marker/priority, focus-first, clear-selection"
T03,P0,Delta move flow and removal of full reload-after-move,F10,Linking,"Link mode, reconnect, and disconnect workflows"
T03,P0,Delta move flow and removal of full reload-after-move,F28,Borders,Create selection border and clear selection borders
T03,P0,Delta move flow and removal of full reload-after-move,F29,Borders,Adopt moved nodes into borders after drag
T03,P0,Delta move flow and removal of full reload-after-move,F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T03,P0,Delta move flow and removal of full reload-after-move,F31,Rendering,Inline note creation and editing from the canvas
T03,P0,Delta move flow and removal of full reload-after-move,F38,Renderer parity,"Node-card behaviors survive the canvas migration, including selection, multi-selection, drag, double-open, collapse toggle, compact-path copy, and context actions"
T04,P0,Toolbox functional repair and dedicated component extraction,F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore
T04,P0,Toolbox functional repair and dedicated component extraction,F03,Toolbox,Toolbox search filters standard block actions
T04,P0,Toolbox functional repair and dedicated component extraction,F04,Toolbox,Toolbox accordion group expand/collapse
T04,P0,Toolbox functional repair and dedicated component extraction,F05,Create actions,Quick create and grouped create actions from toolbox/context menu/selection flows
T04,P0,Toolbox functional repair and dedicated component extraction,F35,Toolbox UX,"Toolbox rows are single-line, compact, keyboard-accessible, and show the component description on hover tooltip/title"
T04,P0,Toolbox functional repair and dedicated component extraction,F36,Overlay isolation,Scrolling and clicking inside toolbox and floating windows never leak into canvas pan/zoom/drag handlers
T05,P0,Visual Studio-like toolbox UX and compact layout,F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore
T05,P0,Visual Studio-like toolbox UX and compact layout,F03,Toolbox,Toolbox search filters standard block actions
T05,P0,Visual Studio-like toolbox UX and compact layout,F04,Toolbox,Toolbox accordion group expand/collapse
T05,P0,Visual Studio-like toolbox UX and compact layout,F05,Create actions,Quick create and grouped create actions from toolbox/context menu/selection flows
T05,P0,Visual Studio-like toolbox UX and compact layout,F35,Toolbox UX,"Toolbox rows are single-line, compact, keyboard-accessible, and show the component description on hover tooltip/title"
T05,P0,Visual Studio-like toolbox UX and compact layout,F36,Overlay isolation,Scrolling and clicking inside toolbox and floating windows never leak into canvas pan/zoom/drag handlers
T06,P1,CanvasLib directory reorganization skeleton,F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T06,P1,CanvasLib directory reorganization skeleton,F34,Shared surface,Sandbox canvas page still works after shared canvas changes
T06,P1,CanvasLib directory reorganization skeleton,F39,Assets,"CanvasLib asset loading is centralized, deterministic, and free of duplicated manual script lists in app entrypoints"
T06,P1,CanvasLib directory reorganization skeleton,F40,Benchmark,CanvasBenchmark remains usable and becomes the renderer migration evidence harness
T07,P1,Deterministic asset build pipeline and centralized asset includes,F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T07,P1,Deterministic asset build pipeline and centralized asset includes,F34,Shared surface,Sandbox canvas page still works after shared canvas changes
T07,P1,Deterministic asset build pipeline and centralized asset includes,F39,Assets,"CanvasLib asset loading is centralized, deterministic, and free of duplicated manual script lists in app entrypoints"
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F01,Workbench chrome,"Toolbar toggles for Blocks, Health, and Inspector/Selection surfaces"
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F05,Create actions,Quick create and grouped create actions from toolbox/context menu/selection flows
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F06,Health window,"Health floating window with counts, spotlight, and validate-selected action"
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F08,Selection window,"Multi-select common actions, batch status/progress/marker/priority, focus-first, clear-selection"
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F09,Selection window,"Single-select detail view with badges, quick signals, node actions, and advanced details"
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T08,P1,"Split long JS, CSS, Razor, and C# files into maintainable parts",F39,Assets,"CanvasLib asset loading is centralized, deterministic, and free of duplicated manual script lists in app entrypoints"
T09,P1,Preview-boundary isolation and legacy path quarantine,F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T09,P1,Preview-boundary isolation and legacy path quarantine,F34,Shared surface,Sandbox canvas page still works after shared canvas changes
T09,P1,Preview-boundary isolation and legacy path quarantine,F39,Assets,"CanvasLib asset loading is centralized, deterministic, and free of duplicated manual script lists in app entrypoints"
T09,P1,Preview-boundary isolation and legacy path quarantine,F40,Benchmark,CanvasBenchmark remains usable and becomes the renderer migration evidence harness
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F01,Workbench chrome,"Toolbar toggles for Blocks, Health, and Inspector/Selection surfaces"
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F21,Exports,Export image from selected hierarchy / mindmap capture
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F34,Shared surface,Sandbox canvas page still works after shared canvas changes
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F38,Renderer parity,"Node-card behaviors survive the canvas migration, including selection, multi-selection, drag, double-open, collapse toggle, compact-path copy, and context actions"
T10,P2,Real canvas stage shell with stable CanvasWorkbench API,F40,Benchmark,CanvasBenchmark remains usable and becomes the renderer migration evidence harness
T11,P2,Canvas links renderer and geometry-based link hit model,F10,Linking,"Link mode, reconnect, and disconnect workflows"
T11,P2,Canvas links renderer and geometry-based link hit model,F21,Exports,Export image from selected hierarchy / mindmap capture
T11,P2,Canvas links renderer and geometry-based link hit model,F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T11,P2,Canvas links renderer and geometry-based link hit model,F38,Renderer parity,"Node-card behaviors survive the canvas migration, including selection, multi-selection, drag, double-open, collapse toggle, compact-path copy, and context actions"
T12,P2,"Canvas minimap, diagnostics, and group-frame renderer",F06,Health window,"Health floating window with counts, spotlight, and validate-selected action"
T12,P2,"Canvas minimap, diagnostics, and group-frame renderer",F28,Borders,Create selection border and clear selection borders
T12,P2,"Canvas minimap, diagnostics, and group-frame renderer",F29,Borders,Adopt moved nodes into borders after drag
T12,P2,"Canvas minimap, diagnostics, and group-frame renderer",F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T12,P2,"Canvas minimap, diagnostics, and group-frame renderer",F40,Benchmark,CanvasBenchmark remains usable and becomes the renderer migration evidence harness
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F03,Toolbox,Toolbox search filters standard block actions
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F05,Create actions,Quick create and grouped create actions from toolbox/context menu/selection flows
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F08,Selection window,"Multi-select common actions, batch status/progress/marker/priority, focus-first, clear-selection"
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F09,Selection window,"Single-select detail view with badges, quick signals, node actions, and advanced details"
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F10,Linking,"Link mode, reconnect, and disconnect workflows"
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F11,Attachments,Inline managed attachment preview in selection panel
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F12,Attachments,Attachment preview modal for PDF/video/audio/document
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F13,Quick actions,Quick action dialog on double-click/open with node-specific actions
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F14,Navigation,Prompt flow nodes expose wizard navigation in inspector and quick action modal
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F15,Navigation,Project/subproject/shared-parent nodes open related structure in a new tab
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F21,Exports,Export image from selected hierarchy / mindmap capture
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F22,Transcript,Transcript provider confirmation dialog and transcript actions
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F23,Mermaid,Mermaid viewer modal with diagram type detection
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F24,Deletion,Delete confirmation flow
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F25,Runtime launch,Runtime launch actions (PowerShell/admin) and launch feedback
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F31,Rendering,Inline note creation and editing from the canvas
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F32,Media / file nodes,Compact path and subtype-specific mapping for repository/file nodes
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T13,P2,Canvas node renderer phase A with hot-zones and HTML overlay escape hatches,F38,Renderer parity,"Node-card behaviors survive the canvas migration, including selection, multi-selection, drag, double-open, collapse toggle, compact-path copy, and context actions"
T14,P2,Canvas export pipeline and accessibility mirror alignment,F21,Exports,Export image from selected hierarchy / mindmap capture
T14,P2,Canvas export pipeline and accessibility mirror alignment,F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T14,P2,Canvas export pipeline and accessibility mirror alignment,F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T14,P2,Canvas export pipeline and accessibility mirror alignment,F38,Renderer parity,"Node-card behaviors survive the canvas migration, including selection, multi-selection, drag, double-open, collapse toggle, compact-path copy, and context actions"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F01,Workbench chrome,"Toolbar toggles for Blocks, Health, and Inspector/Selection surfaces"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F02,Floating windows,Toolbox floating window open/minimize/hide/drag/restore
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F03,Toolbox,Toolbox search filters standard block actions
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F04,Toolbox,Toolbox accordion group expand/collapse
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F05,Create actions,Quick create and grouped create actions from toolbox/context menu/selection flows
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F06,Health window,"Health floating window with counts, spotlight, and validate-selected action"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F07,Selection window,Selection window empty state
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F08,Selection window,"Multi-select common actions, batch status/progress/marker/priority, focus-first, clear-selection"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F09,Selection window,"Single-select detail view with badges, quick signals, node actions, and advanced details"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F10,Linking,"Link mode, reconnect, and disconnect workflows"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F11,Attachments,Inline managed attachment preview in selection panel
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F12,Attachments,Attachment preview modal for PDF/video/audio/document
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F13,Quick actions,Quick action dialog on double-click/open with node-specific actions
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F14,Navigation,Prompt flow nodes expose wizard navigation in inspector and quick action modal
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F15,Navigation,Project/subproject/shared-parent nodes open related structure in a new tab
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F16,Hierarchy,Add subproject dialog from selected root project
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F17,Hierarchy,Reconnect parent dialog from selected subproject
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F18,Summary,Summary modal with inline status edits
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F19,Exports,Export summary workbook (XLSX/CSV-backed behavior)
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F20,Exports,Export Gantt from summary
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F21,Exports,Export image from selected hierarchy / mindmap capture
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F22,Transcript,Transcript provider confirmation dialog and transcript actions
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F23,Mermaid,Mermaid viewer modal with diagram type detection
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F24,Deletion,Delete confirmation flow
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F25,Runtime launch,Runtime launch actions (PowerShell/admin) and launch feedback
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F26,Outline/support,Outline list selection sync below the canvas
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F27,Health/support,Graph health support card below the canvas
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F28,Borders,Create selection border and clear selection borders
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F29,Borders,Adopt moved nodes into borders after drag
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F31,Rendering,Inline note creation and editing from the canvas
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F32,Media / file nodes,Compact path and subtype-specific mapping for repository/file nodes
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F35,Toolbox UX,"Toolbox rows are single-line, compact, keyboard-accessible, and show the component description on hover tooltip/title"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F36,Overlay isolation,Scrolling and clicking inside toolbox and floating windows never leak into canvas pan/zoom/drag handlers
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F38,Renderer parity,"Node-card behaviors survive the canvas migration, including selection, multi-selection, drag, double-open, collapse toggle, compact-path copy, and context actions"
T15,P3,"ProjectStructurePage adoption, performance pass, and benchmark evidence",F40,Benchmark,CanvasBenchmark remains usable and becomes the renderer migration evidence harness
T16,P3,"PromptFactory compatibility, shared-consumer rollout, and preview lane safety",F05,Create actions,Quick create and grouped create actions from toolbox/context menu/selection flows
T16,P3,"PromptFactory compatibility, shared-consumer rollout, and preview lane safety",F13,Quick actions,Quick action dialog on double-click/open with node-specific actions
T16,P3,"PromptFactory compatibility, shared-consumer rollout, and preview lane safety",F30,State,"Persisted selection, zoom/pan view state, and window state restoration"
T16,P3,"PromptFactory compatibility, shared-consumer rollout, and preview lane safety",F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T16,P3,"PromptFactory compatibility, shared-consumer rollout, and preview lane safety",F39,Assets,"CanvasLib asset loading is centralized, deterministic, and free of duplicated manual script lists in app entrypoints"
T17,P3,"Cleanup, legacy-path reduction, final documentation, and full regression pack",F33,Shared surface,PromptFactory still works after shared CanvasWorkbench/CanvasFloatingWindow changes
T17,P3,"Cleanup, legacy-path reduction, final documentation, and full regression pack",F34,Shared surface,Sandbox canvas page still works after shared canvas changes
T17,P3,"Cleanup, legacy-path reduction, final documentation, and full regression pack",F37,Renderer,Dense runtime scene layers render on actual HTML5 canvas instead of DOM/SVG in ProjectStructure and shared CanvasWorkbench consumers
T17,P3,"Cleanup, legacy-path reduction, final documentation, and full regression pack",F38,Renderer parity,"Node-card behaviors survive the canvas migration, including selection, multi-selection, drag, double-open, collapse toggle, compact-path copy, and context actions"
T17,P3,"Cleanup, legacy-path reduction, final documentation, and full regression pack",F39,Assets,"CanvasLib asset loading is centralized, deterministic, and free of duplicated manual script lists in app entrypoints"
T17,P3,"Cleanup, legacy-path reduction, final documentation, and full regression pack",F40,Benchmark,CanvasBenchmark remains usable and becomes the renderer migration evidence harness
