FindingId,Severity,Area,Path,Lines,Note
F06,High,Runtime contract prompt,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/ProcessStepContractPromptBuilder.cs,22-78,"Prompt lists slot GUIDs, producer IDs, artifact IDs and hashes; output artifacts are only slot IDs."
F07,High,Produced artifact identity / content grounding,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionAdapter.ResultConversion.cs,200-207,ProducedArtifactRef uses ArtifactInstanceId.New() and ComputeHash(rawOutputHash:stepId:slotId).
F07,High,Produced artifact identity / content grounding,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionAdapter.ManagedArtifacts.cs,143-165,Runtime can synthesize a primary markdown artifact when no write receipt exists.
F08,High,Capability/tool preflight,src/MAF/Common/CanDoItAll.AgentFramework.Models/Agents/AgentProcessReadinessEvaluator.cs,354-392,Project structure tool readiness checks read/write flags and known tool name classification.
F08,High,Capability/tool preflight,src/Modules/CanDoItAll.Modules.ProjectStructure/ProcessIntegration/ProjectStructureAgentRuntimeToolProvider.cs,2244-2255,Actual tool execution requires scoped process write access and can throw ProcessSubprocessLaunchDenied.
F08,High,Capability/tool preflight,src/Modules/CanDoItAll.Modules.ProjectStructure/ProcessIntegration/ProjectStructureAgentRuntimeToolProvider.cs,2271-2297,"Scoped access depends on GovernedProcessAutomation, audit scope, process run/step IDs and allowed operations."
F09,High,Template contracts,Templates/Processes/processes/dotnet-development-slice/definition.json,269-345,StepKind Subprocess; SubprocessProcessKey dotnet-solution-setup; AllowsManualSkip true; accepted repair handoff appears only in prose.
F10,Medium,Rework loop quality,src/Processes/CanDoItAll.Processes.Application/ProcessRuntimeDispatchApplicationService.cs,960-1013,Recovery instruction is generic and primarily lists diagnostics/requested artifact slot IDs.
F10,Medium,Rework loop quality,src/Processes/CanDoItAll.Processes.Application/ProcessRuntimeProjectionQueryService.cs,1452-1475,"Operator instruction says to preserve artifacts and produce required evidence, but lacks exact bridge/tool/action context when diagnostic is missing."
F11,Medium,Template size and cognitive load,Templates/Processes/processes/dotnet-solution-setup/definition.json,"173-248, 323-333, 492-502","Scaffold/test/validation rules are long textual instructions, although some hard gates exist as launch variables or capability receipts."
F12,Medium,Code architecture / maintainability,src/MAF/Common/CanDoItAll.AgentFramework.Core/ToolPolicy/AgentToolInvocationPolicy.cs,3029 lines,Large policy class.
F12,Medium,Code architecture / maintainability,src/Processes/CanDoItAll.Processes.Application/ProcessRuntimeProjectionQueryService.cs,1799 lines,"Projection, diagnostics, operator messages, enrichment and action composition are coupled."
F12,Medium,Code architecture / maintainability,src/Modules/CanDoItAll.Modules.Processes/Services/RuntimeIntegration/AgentFrameworkProcessExecutionAdapter.ResultConversion.cs,1223 lines,"Adapter conversion, validation and issue construction are coupled."
