Priority,CurrentSource,CurrentTypeOrConcept,TargetProject,TargetNamespace,Action,Consumers,Notes
NOW,src/CanDoItAll.Mcp.DotNetWatch/Processes/ProcessServices.cs,ManagedProcess,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Processes,Extract,"DotNetWatch;future local MCPs",Shared local child-process wrapper
NOW,src/CanDoItAll.Mcp.DotNetWatch/Processes/ProcessServices.cs,IProcessCommandRunner / ProcessCommandRunner,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Processes,Extract,"DotNetWatch;future local MCPs",Helper for local shell-outs
NOW,src/CanDoItAll.Mcp.DotNetWatch/Processes/ProcessServices.cs,IProcessTreeTerminator + platform terminators,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Processes,Extract,"DotNetWatch;future local MCPs",OS-specific process termination shouldn't live in each server
NOW,src/CanDoItAll.Mcp.DotNetWatch/Processes/ProcessServices.cs,ProcessSupervisor,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Processes,Extract,"DotNetWatch;future local MCPs",Depends on shared observability types from Core
NOW,src/CanDoItAll.Mcp.DotNetWatch/Processes/ProcessServices.cs,ManagedProcessMarkers,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Processes,Extract,"DotNetWatch;future local MCPs",Shared ownership markers for safe cleanup
NOW,src/CanDoItAll.Mcp.DotNetWatch/Persistence/StaleProcessRegistry.cs,ManagedProcessRecord,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Persistence,Extract,"DotNetWatch;future local MCPs",Record model for local managed processes
NOW,src/CanDoItAll.Mcp.DotNetWatch/Persistence/StaleProcessRegistry.cs,StaleProcessRegistry,CanDoItAll.Mcp.LocalRuntime,CanDoItAll.Mcp.LocalRuntime.Persistence,Extract,"DotNetWatch;future local MCPs",Keep generic ownership verification logic
LATER,src/CanDoItAll.Mcp.DotNetWatch/Security/SecurityServices.cs,PathGuard local implementation,Server-specific for now,n/a,"Keep local now; maybe extract only path containment helpers later",DotNetWatch only now,Remote POSIX path semantics differ from local workspace semantics
LATER,src/CanDoItAll.Mcp.DotNetWatch/Security/SecurityServices.cs,EnvironmentOverlayFilter,Server-specific for now,n/a,"Keep local now; possibly extract allow-list helper later",DotNetWatch now,SSH may need a different env policy shape
KEEP_LOCAL,src/CanDoItAll.Mcp.DotNetWatch/Runtime/AppRuntimeModels.cs,AppSession/AppRuntimeManager/AppStartTemplate,CanDoItAll.Mcp.DotNetWatch,CanDoItAll.Mcp.DotNetWatch.Runtime,Do not extract,DotNetWatch,Strongly tied to dotnet watch lifecycle
KEEP_LOCAL,src/CanDoItAll.Mcp.DotNetWatch/Runtime/SessionCoordinator.cs,dotnet watch orchestration,CanDoItAll.Mcp.DotNetWatch,CanDoItAll.Mcp.DotNetWatch.Runtime,Do not extract,DotNetWatch,Too server-specific
KEEP_LOCAL,src/CanDoItAll.Mcp.DotNetWatch/Diagnostics/StartFailureDiagnoser.cs,StartFailureDiagnoser,CanDoItAll.Mcp.DotNetWatch,CanDoItAll.Mcp.DotNetWatch.Diagnostics,Do not extract now,DotNetWatch,Heuristics are dotnet-specific
KEEP_LOCAL,SSH pack design,ISshTransport / SshNetTransport,CanDoItAll.Mcp.SshOps,CanDoItAll.Mcp.SshOps.Transport,Keep SSH-specific,SshOps,No second consumer yet
KEEP_LOCAL,SSH pack design,HostKeyVerifier,CanDoItAll.Mcp.SshOps,CanDoItAll.Mcp.SshOps.Security,Keep SSH-specific,SshOps,Technology-specific security concern
KEEP_LOCAL,SSH pack design,RemoteJobRunner,CanDoItAll.Mcp.SshOps,CanDoItAll.Mcp.SshOps.Operations,Keep SSH-specific for first release,SshOps,May become future shared candidate if another remote server appears
KEEP_LOCAL,SSH pack design,Docker/Traefik/Postgres/Ipfs services,CanDoItAll.Mcp.SshOps,CanDoItAll.Mcp.SshOps.Domain.*,Keep SSH-specific,SshOps,Pure domain logic
