"Category","Path","Disposition","Evidence"
"process-definition","Templates/Processes/processes/dotnet-development-slice/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/dotnet-feature-function-implementation/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/dotnet-runtime-command-writeback/definition.json","Explicit exception","Strict full-pack validation found no hard-gate contract gap for this definition."
"process-definition","Templates/Processes/processes/dotnet-solution-setup/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/dotnet-ui-screenshot-writeback/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/hotfix-rollout/definition.json","Explicit exception","Strict full-pack validation found no hard-gate contract gap for this definition."
"process-definition","Templates/Processes/processes/incident-response/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/oss-intake-supply-chain-governance/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/release-readiness-and-deployment/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"process-definition","Templates/Processes/processes/software-delivery/definition.json","Migrated","Typed execution classes, strict branch identifiers, subprocess contracts, or hard-gate execution contracts updated."
"step-markdown","Templates/Processes/processes/ai-assisted-change-delivery/steps/agent-execution.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/ai-assisted-change-delivery/steps/controlled-merge-and-learning.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/ai-assisted-change-delivery/steps/delegation-design.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/ai-assisted-change-delivery/steps/evaluation-and-benchmarking.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/ai-assisted-change-delivery/steps/safety-and-security-review.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/ai-assisted-change-delivery/steps/task-intake.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/architecture-decision-governance/steps/board-decision.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/architecture-decision-governance/steps/context-and-options.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/architecture-decision-governance/steps/decision-intake.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/architecture-decision-governance/steps/rollout-guidance.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/architecture-decision-governance/steps/security-compliance-review.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/escalate-blazor-unresolved-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/implement-blazor-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/record-blazor-results-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/record-blazor-results.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/repair-blazor-findings.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/resolve-blazor-contract.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/revalidate-blazor-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-delivery/steps/validate-blazor-runtime.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/escalate-blazor-unresolved-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/implement-blazor-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/record-blazor-results-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/record-blazor-results.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/repair-blazor-findings.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/resolve-blazor-contract.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/revalidate-blazor-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-app-repair-fix/steps/validate-blazor-runtime.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/escalate-blazor-unresolved-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/implement-blazor-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/record-blazor-results-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/record-blazor-results.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/repair-blazor-findings.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/resolve-blazor-contract.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/revalidate-blazor-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-backend-feature/steps/validate-blazor-runtime.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/escalate-blazor-unresolved-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/implement-blazor-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/record-blazor-results-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/record-blazor-results.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/repair-blazor-findings.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/resolve-blazor-contract.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/revalidate-blazor-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-frontend-feature/steps/validate-blazor-runtime.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/escalate-blazor-unresolved-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/implement-blazor-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/record-blazor-results-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/record-blazor-results.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/repair-blazor-findings.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/resolve-blazor-contract.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/revalidate-blazor-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/blazor-fullstack-feature/steps/validate-blazor-runtime.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/approve-merge-after-architecture.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/approve-merge-after-default.md","Migrated","Reserved branch-key prose updated to stable typed identifiers."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/approve-merge-after-qa.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/approve-merge-after-security.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/approve-merge.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/architecture-escalation.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/capture-workflow-failure.md","Migrated","Reserved branch-key prose updated to stable typed identifiers."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/normalize-default-lane.md","Migrated","Reserved branch-key prose updated to stable typed identifiers."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/perform-security-review.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/prepare-pull-request.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/repair-pass.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/route-review-disposition.md","Migrated","Reserved branch-key prose updated to stable typed identifiers."
"step-markdown","Templates/Processes/processes/branching-code-review/steps/validate-qa-lane.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/business-plan-development/steps/business-plan-draft.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/business-plan-development/steps/financial-modeling.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/business-plan-development/steps/integrated-review.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/business-plan-development/steps/marketing-plan.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/business-plan-development/steps/product-evidence-review.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/business-plan-development/steps/strategy-intake.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/customer-onboarding/steps/intake.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/customer-onboarding/steps/kickoff-approval.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/customer-onboarding/steps/staffing-review.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-architecture-design-review/steps/architecture-handoff.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-architecture-design-review/steps/classify-dotnet-application.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-architecture-design-review/steps/draft-architecture-design.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-architecture-design-review/steps/review-architecture-design.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/add-tests-and-proof.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/add-tests-recheck.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/implement-code-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/prepare-solution-skeleton.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/slice-architecture-check.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/slice-handoff-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/slice-handoff.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/slice-intake.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/slice-repair-code-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-development-slice/steps/slice-repair-escalation.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/code-change.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/feature-handoff-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/feature-handoff.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/feature-repair-escalation.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/feature-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/feature-slice-intake.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/implementation-approach.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/targeted-recheck.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/targeted-validation.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-feature-function-implementation/steps/test-contract.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-runtime-command-writeback/steps/resolve-dotnet-run-commands.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-runtime-command-writeback/steps/runtime-command-handoff.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-runtime-command-writeback/steps/write-run-command-nodes.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/add-test-project.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/create-dotnet-project.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/repair-solution-setup.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/scaffold-contract.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/setup-handoff-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/setup-handoff.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/setup-repair-escalation.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/validate-first-build-after-repair.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-solution-setup/steps/validate-first-build.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-ui-screenshot-writeback/steps/capture-ui-screenshots.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-ui-screenshot-writeback/steps/resolve-ui-screenshot-applicability.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-ui-screenshot-writeback/steps/screenshot-handoff.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/dotnet-ui-screenshot-writeback/steps/store-ui-screenshots.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/hotfix-rollout/steps/activate-emergency-bridge.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/hotfix-rollout/steps/approve-emergency-release.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/hotfix-rollout/steps/assess-blast-radius.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/hotfix-rollout/steps/execute-emergency-rollout.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/hotfix-rollout/steps/package-hotfix.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/hotfix-rollout/steps/post-incident-review.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/hotfix-rollout/steps/validate-hotfix.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/incident-response/steps/diagnose.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/incident-response/steps/escalate.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/incident-response/steps/respond.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/oss-intake-supply-chain-governance/steps/approval-and-registration.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/oss-intake-supply-chain-governance/steps/component-request.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/oss-intake-supply-chain-governance/steps/handoff-and-watch.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/oss-intake-supply-chain-governance/steps/identity-and-maintenance.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/oss-intake-supply-chain-governance/steps/license-and-obligations.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/oss-intake-supply-chain-governance/steps/security-and-provenance.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
"step-markdown","Templates/Processes/processes/release-readiness-and-deployment/steps/cutover-rehearsal.md","Prose-only risk removed or explicit exception","Hard gates are represented in definition JSON where strict validation requires them; remaining prose is explanatory."
