id,key,name,group,blockKind,summary,tags,promptTypes,blueprints,phases,stackTags,toolboxEligible,recommended,templateTokens,templatePart
08a2f534-d708-5d31-a622-37eba9e8e3fa,scope-in-scope-items,Scope: In-Scope Items,mission-scope,Constraint,Defines the work that must be covered in the session.,"in-scope, requirements, scope","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, validation-audit, ui-ux-delivery, embedded-firmware-iteration","discovery, architecture, planning, implementation, verification, delivery",,no,yes,"in_scope_item_1, in_scope_item_2, in_scope_item_3","## In Scope
You are responsible for the following items:
- {{in_scope_item_1}}
- {{in_scope_item_2}}
- {{in_scope_item_3}}

Finish the in-scope slice end to end instead of leaving disconnected scaffolding."
4e43011f-af01-5e2b-9055-5a248d2ce6d5,scope-out-of-scope-items,Scope: Out-of-Scope Items,mission-scope,Constraint,Prevents the model from wasting time on adjacent work or overbuilding.,"focus, out-of-scope, scope","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, validation-audit, ui-ux-delivery, embedded-firmware-iteration","discovery, architecture, planning, implementation, verification, delivery",,no,yes,"out_of_scope_item_1, out_of_scope_item_2, out_of_scope_item_3","## Out of Scope
Do not spend time on the following unless they become mandatory blockers:
- {{out_of_scope_item_1}}
- {{out_of_scope_item_2}}
- {{out_of_scope_item_3}}

If you encounter one of these areas, acknowledge it and return to the main objective."
bafa66a9-ba1a-5bea-8c0b-d951ec6425cb,stop-condition,Stop Condition,mission-scope,Constraint,Defines when the agent must stop instead of continuing automatically.,"handoff, phase-gate, stop-condition","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, validation-audit, ui-ux-delivery, embedded-firmware-iteration","architecture, planning, implementation, verification, delivery",,no,no,stop_condition,"## Stop Condition
Stop when {{stop_condition}}.

Do not silently continue into the next milestone once this point is reached.
When you stop, summarize what is complete, what remains, and the recommended next prompt or next agent."
a52e465e-2713-53d9-a304-5b2bb61b0f8e,success-criteria,Success Criteria,mission-scope,Validation,Defines what must be true before the work is considered complete.,"acceptance, definition-of-done, success","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, validation-audit, ui-ux-delivery, embedded-firmware-iteration","planning, implementation, verification, delivery",,no,yes,"success_criterion_1, success_criterion_2, success_criterion_3","## Success Criteria
The work is complete only when all of the following are true:
- {{success_criterion_1}}
- {{success_criterion_2}}
- {{success_criterion_3}}

Do not claim completion if any criterion is still assumed rather than verified."
b329a893-bcde-546c-89ac-4c81208d0754,assumptions-and-open-questions,Context: Assumptions and Open Questions,context-discovery,Delivery,Captures the assumptions the agent is making and the questions that still matter.,"assumptions, questions, risk","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, validation-audit, ui-ux-delivery, embedded-firmware-iteration","discovery, architecture, planning, implementation, verification, delivery",,no,no,,"## Assumptions and Open Questions
Keep a short list of:
- assumptions you are making because the repo or prompt is incomplete,
- questions that would materially change the approach,
- questions that can safely be deferred without blocking progress.

Separate confirmed facts from inferred assumptions."
2bbf946e-ca78-5522-a682-34fe62cb3b12,current-state-audit,Context: Current State Audit,context-discovery,Instruction,Makes the agent audit what already exists before proposing changes or declaring gaps.,"audit, baseline, discovery","architecture, audit, plan, implementation, refactor, bugfix, review, validation","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, validation-audit, ui-ux-delivery, embedded-firmware-iteration",discovery,,no,yes,target_area,"## Current State Audit
Start by auditing what already exists for {{target_area}}.

Confirm:
- what is already implemented,
- what is partial or inconsistent,
- what is missing,
- what existing tests or fixtures already cover.

Do not propose new architecture or new files before you know the real baseline."
7092f49d-41dc-58a5-9695-10894cc84bbc,dependency-inventory,Context: Dependency Inventory,context-discovery,Instruction,"Makes the agent identify runtime, framework, and integration dependencies that constrain the work.","dependencies, integration, stack","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, validation-audit, ui-ux-delivery, embedded-firmware-iteration","discovery, planning",,no,no,,"## Dependency Inventory
List the important dependencies that shape this work:
- frameworks and runtime versions,
- external services or protocols,
- build, test, and deployment dependencies,
- hardware or browser capabilities if relevant.

If a dependency version or capability is uncertain, verify it before designing around it."
9bbecb42-f575-53c2-b910-a8230a594e07,environment-and-commands,Context: Environment and Commands,context-discovery,Instruction,"Pins the build, run, and test commands that should be used during the session.","commands, environment, verification","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, validation-audit, ui-ux-delivery, embedded-firmware-iteration","discovery, implementation, verification",,no,yes,"build_command, integration_test_command, run_command, ui_test_command, unit_test_command","## Local Build and Verification Commands
Use and update the real commands for this workspace:
- build: {{build_command}}
- unit tests: {{unit_test_command}}
- integration tests: {{integration_test_command}}
- UI tests: {{ui_test_command}}
- run app or service: {{run_command}}

If these commands are wrong for the current workspace, correct them early and keep the corrected commands visible in the session."
34c9c7c3-ac54-5a85-8c1a-0895f242506a,file-touch-plan,Context: File Touch Plan,context-discovery,Instruction,Requires the agent to predict the likely files and modules involved before editing begins.,"change-scope, file-plan, impact-analysis","architecture, plan, implementation, refactor, bugfix, review","architecture-spec, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review","discovery, planning",,no,no,"likely_file_or_module_1, likely_file_or_module_2, likely_file_or_module_3","## File Touch Plan
Before editing, identify the files or modules most likely to change:
- {{likely_file_or_module_1}}
- {{likely_file_or_module_2}}
- {{likely_file_or_module_3}}

Call out any high-risk files where careful review is required because regressions would be expensive."
44c1f1f7-8494-5689-8d55-0771c566ba48,relevant-artifacts-and-fixtures,Context: Relevant Artifacts and Fixtures,context-discovery,Instruction,"Makes the agent locate fixtures, examples, sample data, screenshots, or diagrams before building from scratch.","artifacts, fixtures, reuse","architecture, plan, implementation, refactor, bugfix, testing, ui, embedded","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, validation-audit, ui-ux-delivery, embedded-firmware-iteration","discovery, planning, verification",,no,no,,"## Existing Artifacts and Fixtures
Look for existing artifacts that should guide or validate the work:
- fixtures or sample data,
- screenshots or recordings,
- diagrams or architecture notes,
- protocol examples or golden outputs.

Reuse and extend those artifacts where possible instead of inventing disconnected new ones."
f00f62d2-ae55-5a6b-b802-dc79777a1df7,repo-map-confirmation,Context: Repository Map Confirmation,context-discovery,Instruction,Requires the agent to confirm the real project structure instead of assuming paths from the prompt.,"context, paths, repository-map","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, validation-audit, ui-ux-delivery, embedded-firmware-iteration",discovery,,no,yes,"docs_or_artifact_paths, primary_projects_or_modules, solution_or_workspace_root, tests_and_validation_projects","## Repository Map
Confirm the repository structure before making changes.

At minimum, verify:
- {{solution_or_workspace_root}}
- {{primary_projects_or_modules}}
- {{tests_and_validation_projects}}
- {{docs_or_artifact_paths}}

If the working tree differs from the prompt, resolve the mismatch explicitly instead of ignoring it."
a6a608c1-d9d9-559d-b759-cb928dfe55f5,required-reading-list,Context: Required Reading List,context-discovery,Instruction,"Lists the files, docs, and artifacts the agent must read before acting.","artifacts, inputs, required-reading","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, validation-audit, ui-ux-delivery, embedded-firmware-iteration",discovery,,no,yes,"input_path_1, input_path_2, input_path_3, input_path_4","## Inputs to Read
Read the following before you plan or implement:
- {{input_path_1}}
- {{input_path_2}}
- {{input_path_3}}
- {{input_path_4}}

Treat these inputs as authoritative unless the codebase proves they are outdated."
e71f0a3c-bc00-56d3-8d0a-275148a12019,comments-in-english,Guardrail: Comments in English,guardrails,Constraint,Keeps code comments and inline documentation in English for consistency.,"comments, consistency, english","implementation, refactor, bugfix, embedded, ui","feature-implementation, safe-refactor, bugfix-with-regression-lock, embedded-firmware-iteration, ui-ux-delivery",implementation,,no,no,,"## Comment Language
All new or updated code comments must be in English.

Prefer concise, useful comments that explain non-obvious behavior.
Do not add commentary that only restates what the code already makes obvious."
da026203-117c-564c-9f92-9f33a7b7b02a,honest-blocker-reporting,Guardrail: Honest Blocker Reporting,guardrails,Delivery,"Forces the agent to report environment, access, or test blockers honestly.","blockers, honesty, verification","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, test-strategy-and-automation, validation-audit, performance-hardening, security-hardening, ui-ux-delivery, embedded-firmware-iteration","verification, delivery",,no,yes,,"## Blocker Reporting
If you are blocked by the environment, missing hardware, unavailable credentials, or failing infrastructure:
- say exactly what is blocked,
- describe what you verified before concluding it is blocked,
- give the closest fallback or next action.

Do not imply that blocked verification passed."
c9f117c9-af66-5d66-9c87-82f9622ab028,no-destructive-changes,Guardrail: No Destructive Changes,guardrails,Constraint,Prevents destructive commands or silent data loss while the agent works.,"destructive-actions, git, safety","implementation, refactor, bugfix, review, embedded","feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, embedded-firmware-iteration","implementation, verification",,no,yes,,"## Destructive Change Ban
Do not use destructive commands or irreversible cleanup unless the prompt explicitly authorizes them.

Avoid:
- deleting user work or unreviewed changes,
- force-resetting branches or databases,
- throwing away fixtures, logs, or screenshots that still matter for proof."
d44f955c-d2b0-5809-b550-6d0d9fa7a042,no-placeholder-ui,Guardrail: No Placeholder-Only UI,guardrails,Constraint,Prevents shallow UI work that looks complete but is not wired to real state or behavior.,"quality-bar, real-behavior, ui","ui, implementation, review","ui-ux-delivery, feature-implementation, validation-audit, senior-code-review","implementation, verification",,no,no,,"## No Placeholder-Only UI
Do not leave placeholder-only UI in the finished result.

New screens or controls must:
- bind to real state and real workflows,
- handle empty, loading, and error states where relevant,
- use the actual component system and styling approach in the repo."
998d9e68-fa3d-5ee3-a0ca-7fffa850ca94,non-negotiable-rules,Guardrail: Non-Negotiable Rules,guardrails,Constraint,Provides hard rules that the agent must not violate.,"constraints, guardrails, hard-rules","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, test-strategy-and-automation, validation-audit, performance-hardening, security-hardening, ui-ux-delivery, embedded-firmware-iteration","discovery, architecture, planning, implementation, verification, delivery",,no,yes,"rule_1, rule_2, rule_3, rule_4","## Non-Negotiable Rules
The following rules are mandatory:
- {{rule_1}}
- {{rule_2}}
- {{rule_3}}
- {{rule_4}}

If a rule conflicts with a proposed solution, change the solution instead of relaxing the rule silently."
55f8886d-3bf9-5fea-810e-2900b76c87ad,preserve-architecture-boundaries,Guardrail: Preserve Architecture Boundaries,guardrails,Constraint,Prevents the agent from smearing business logic across layers or breaking modular boundaries.,"architecture, boundaries, maintainability","architecture, implementation, refactor, review, security, migration","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, test-strategy-and-automation, validation-audit, performance-hardening, security-hardening, ui-ux-delivery, embedded-firmware-iteration","architecture, planning, implementation, verification",,no,yes,,"## Architecture Boundaries
Preserve the existing architectural boundaries unless the prompt explicitly authorizes a redesign.

Do not:
- move business logic into UI-only code,
- bypass shared contracts or data access patterns,
- introduce cross-module coupling just to finish faster.

If a boundary is wrong, document the issue and fix it deliberately rather than by accident."
1816a5cd-778b-562b-8729-aca0498ec90e,preserve-backward-compatibility,Guardrail: Preserve Backward Compatibility,guardrails,Constraint,"Protects existing data, contracts, and user flows unless change is explicit and managed.","compatibility, contracts, migrations","architecture, implementation, refactor, bugfix, migration","architecture-spec, feature-implementation, safe-refactor, bugfix-with-regression-lock, embedded-firmware-iteration","planning, implementation, verification",,no,yes,,"## Backward Compatibility
Preserve existing contracts, persisted data, and user-visible behavior unless the prompt explicitly calls for a breaking change.

If a breaking change is required:
- call it out explicitly,
- add migration or compatibility handling,
- document the risk and the rollback path."
22d411f3-002f-5192-8386-97b25a780ae9,protect-secrets-and-sensitive-data,Guardrail: Protect Secrets and Sensitive Data,guardrails,Security,Prevents secret leakage and unsafe handling of sensitive values.,"privacy, secrets, security","architecture, implementation, review, security, validation","architecture-spec, feature-implementation, senior-code-review, security-hardening, validation-audit","architecture, implementation, verification, delivery",,no,yes,,"## Secret and Sensitive Data Handling
Do not expose secrets, tokens, private keys, or raw sensitive values in prompts, logs, screenshots, or generated code.

If the work touches authentication, billing, telemetry, or user data:
- keep secrets server-side when possible,
- redact sensitive values from examples and output,
- call out any unsafe storage or transport pattern you encounter."
f63817c2-d85d-5867-aaf7-c341cebdbdc7,safe-ambiguity-handling,Guardrail: Safe Ambiguity Handling,guardrails,Constraint,Tells the agent how to behave when requirements or repo facts are ambiguous.,"ambiguity, assumptions, safety","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, test-strategy-and-automation, validation-audit, performance-hardening, security-hardening, ui-ux-delivery, embedded-firmware-iteration","discovery, architecture, planning, implementation, verification, delivery",,no,yes,,"## Ambiguity Handling
When the prompt or repository is ambiguous:
- prefer the simplest behavior that stays consistent with the existing system,
- document the assumption you chose,
- add tests or notes that lock the decision in.

Do not invent hidden requirements or silently make risky assumptions."
bf5d9a9b-13a5-5778-8c65-cbf9cb8c505d,small-verifiable-increments,Guardrail: Small Verifiable Increments,guardrails,Constraint,Forces stepwise changes with proof after each slice.,"increments, risk-reduction, verification","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, repository-audit, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, test-strategy-and-automation, validation-audit, performance-hardening, security-hardening, ui-ux-delivery, embedded-firmware-iteration","planning, implementation, verification",,no,yes,,"## Increment Size
Work in small, verifiable increments.

For each slice:
- change only the minimum coherent surface,
- run the closest relevant verification,
- keep the system buildable and testable before moving on.

If the work starts turning into a large refactor, split it into smaller steps with explicit checkpoints."
8af48794-afd8-5f7b-8206-a5ec2c2c4bfa,branch-and-status-tracking,Workflow: Branch and Status Tracking,workflow-orchestration,Instruction,"Makes branch identity, run status, and working tree state visible in the workflow.","branch, git, status, workflow","implementation, refactor, bugfix, review, migration, embedded","feature-implementation, safe-refactor, bugfix-with-regression-lock, senior-code-review, embedded-firmware-iteration","discovery, planning, implementation, verification",,no,no,,"## Branch and Status Tracking
Keep branch and session status explicit:
- current branch or branch plan,
- current milestone or phase,
- whether the working tree is clean or contains relevant in-flight changes.

If the work depends on dirty state, describe how you will avoid clobbering unrelated changes."
6cb92439-002a-530d-9f50-cb92afc4e72a,checklist-update-loop,Workflow: Checklist Update Loop,workflow-orchestration,Instruction,Requires the agent to maintain the checklist as work progresses.,"checklist, evidence, progress","plan, implementation, refactor, bugfix, testing, validation, embedded","implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, test-strategy-and-automation, validation-audit, embedded-firmware-iteration","planning, implementation, verification, delivery",,no,no,,"## Checklist Update Loop
Maintain the active checklist during the session.

After each meaningful step:
- mark completed items,
- note what remains,
- record the validation that justified the state change.

Never report an item as done without naming the evidence."
696c25ef-6044-528b-92af-446ed6142247,decision-log-maintenance,Workflow: Decision Log Maintenance,workflow-orchestration,Delivery,Tracks decisions that future agents should not have to rediscover.,"adr, continuity, decisions","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, implementation-plan, feature-implementation, safe-refactor, bugfix-with-regression-lock, validation-audit, embedded-firmware-iteration","architecture, planning, implementation, verification, delivery",,no,no,,"## Decision Log
Record decisions that affect future work:
- what decision was made,
- why it was chosen,
- what tradeoff or limitation remains,
- what evidence supports the choice.

Keep the log short and operational, not essay-like."
a53983ec-812b-50dc-a25d-fb43c3de44df,known-gaps-log,Workflow: Known Gaps Log,workflow-orchestration,Delivery,Separates intentionally deferred work from unfinished or forgotten work.,"deferred-work, known-gaps, risk","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, implementation-plan, feature-implementation, safe-refactor, validation-audit, embedded-firmware-iteration","planning, implementation, verification, delivery",,no,no,,"## Known Gaps
Keep a short known-gaps list for items that are deliberately postponed.

For each gap, note:
- why it was not completed now,
- what risk it creates,
- what event should bring it back into scope."
6220bfa1-fe75-51a5-a23b-47c0ed8fbfbd,multi-agent-chain,Workflow: Multi-Agent Chain,workflow-orchestration,Instruction,"Defines the canonical chain of architecture, review, planning, implementation, and validation agents.","handoff, multi-agent, workflow","architecture, plan, implementation, review, validation, migration","architecture-spec, implementation-plan, feature-implementation, validation-audit","discovery, architecture, planning, implementation, verification, delivery",,no,yes,,"## Multi-Agent Chain
Organize this workflow as a chain of specialized agents:
1. architecture agent creates the design and constraints,
2. reviewer challenges the design and exposes risks,
3. planning agent converts it into milestones and checklists,
4. implementation agent delivers the code in slices,
5. validation agent gathers proof and performs the final audit.

Each downstream agent must inherit the outputs and unresolved risks from the previous one instead of rediscovering context from scratch."
bde8b471-29e4-51a8-87cf-65e306918efc,next-prompt-pointer,Workflow: Next Prompt Pointer,workflow-orchestration,Delivery,Requires the agent to say which next prompt or next flow step should run.,"handoff, next-step, workflow","architecture, audit, plan, implementation, refactor, bugfix, review, testing, validation, performance, security, migration, embedded, ui","architecture-spec, implementation-plan, feature-implementation, safe-refactor, validation-audit, embedded-firmware-iteration, ui-ux-delivery","architecture, planning, implementation, verification, delivery",,no,no,,"## Next Prompt Pointer
End the current phase by naming the recommended next prompt, next phase, or next agent.

The pointer should explain:
- what is now ready,
- what the next step should consume,
- what unresolved risks the next step must carry forward."
