note_id,paragraph_index,text,primary_item_id,primary_item_title,primary_item_folder,origin
N036,36,Find others delivery to me,I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N037,37,All those actions with confirmation because it must send request to LLM (selector OpenAI API vs Local Ollama),I04,"Recording, transcript, and LLM-backed actions",04_recordings-transcripts-and-llm-actions,docx
N038,38,Requrements/Prerequisites,I01,"Foundation: rich node schema, metadata, and compatibility",01_foundation-rich-node-schema-and-metadata,docx
N039,39,Generic node,I01,"Foundation: rich node schema, metadata, and compatibility",01_foundation-rich-node-schema-and-metadata,docx
N040,40,Prarticipants,I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N041,41,HR,I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N042,42,From CRM (need to add at least basic crm module),I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N043,43,Team block (for example as start of organization chart),I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N044,44,"Team Section (for example HW department, etc.)",I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N045,45,Freelancer,I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N046,46,Partner,I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N047,47,AI Agent,I05,Participants and CRM-lite registry,05_participants-and-crm-lite,docx
N048,48,Tasks,I06,"Task, issue, and assignment model",06_task-issue-and-assignment-model,docx
N049,49,Task,I06,"Task, issue, and assignment model",06_task-issue-and-assignment-model,docx
N050,50,"What, when, who (for already added HRs offered selector)",I06,"Task, issue, and assignment model",06_task-issue-and-assignment-model,docx
N051,51,Issue,I06,"Task, issue, and assignment model",06_task-issue-and-assignment-model,docx
N052,52,Possible link to repo,I06,"Task, issue, and assignment model",06_task-issue-and-assignment-model,docx
N053,53,Or pure description,I06,"Task, issue, and assignment model",06_task-issue-and-assignment-model,docx
N054,54,Attachments,I06,"Task, issue, and assignment model",06_task-issue-and-assignment-model,docx
N055,55,Video,I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N056,56,"Screenshot (take last captured screenshot, or from clipboard)",I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N057,57,Log,I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N058,58,notes,I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N059,59,Revision,I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N060,60,Feedback,I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N061,61,Payment,I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N062,62,Send,I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N063,63,"With selector for File, Offer, Email, Message (plus channel), invoice, money, etc.",I07,"Attachments, feedback, payment, and send flows",07_attachments-feedback-payment-send,docx
N064,64,Files,I08,Typed file nodes and Mermaid viewer,08_typed-file-nodes-and-mermaid-viewer,docx
N065,65,"Own menu item for pdf, excel, docx, txt, json, md",I08,Typed file nodes and Mermaid viewer,08_typed-file-nodes-and-mermaid-viewer,docx
N066,66,"Each of those files nodes must have proper color (pdf red, excel green, docx blue, txt, json and similar probably gray with icon/text of type, etc)",I08,Typed file nodes and Mermaid viewer,08_typed-file-nodes-and-mermaid-viewer,docx
N067,67,Mermaid (plus viewer),I08,Typed file nodes and Mermaid viewer,08_typed-file-nodes-and-mermaid-viewer,docx
N068,68,Auto identification of graph type and info about it on node.,I08,Typed file nodes and Mermaid viewer,08_typed-file-nodes-and-mermaid-viewer,docx
N069,69,Repository,I09,Repository nodes and resource integration,09_repository-and-resource-integration,docx
N070,70,Remote,I09,Repository nodes and resource integration,09_repository-and-resource-integration,docx
N071,71,GitHub connection,I09,Repository nodes and resource integration,09_repository-and-resource-integration,docx
N072,72,Selection of specific repositoriy,I09,Repository nodes and resource integration,09_repository-and-resource-integration,docx
N073,73,Local,I09,Repository nodes and resource integration,09_repository-and-resource-integration,docx
N074,74,OpenFolder dialog,I09,Repository nodes and resource integration,09_repository-and-resource-integration,docx
N075,75,Scripts,I10,Script nodes and terminal execution surface,10_scripts-and-terminal-execution,docx
N076,76,Add PS script,I10,Script nodes and terminal execution surface,10_scripts-and-terminal-execution,docx
N077,77,Console script,I10,Script nodes and terminal execution surface,10_scripts-and-terminal-execution,docx
N078,78,All with button to “Open terminal” (automatically in work folder),I10,Script nodes and terminal execution surface,10_scripts-and-terminal-execution,docx
N079,79,Environments,I11,Python environment nodes,11_python-environment-nodes,docx
N080,80,Python Environment,I11,Python environment nodes,11_python-environment-nodes,docx
N081,81,"Provider (python, conda)",I11,Python environment nodes,11_python-environment-nodes,docx
N082,82,"Name, etc.",I11,Python environment nodes,11_python-environment-nodes,docx
N083,83,Dotnet related,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N084,84,Project default launch profile,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N085,85,Project selector,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N086,86,Then auto parse of launchprofile to get default addresses,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N087,87,localhost run in node details – click to open in new tab,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N088,88,Dotnetwatch,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N089,89,Command to run specific project in dotnetwatch,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N090,90,Ideal would be project selector,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N091,91,Specify http vs https,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N092,92,Run Release,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N093,93,Specify http vs https,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N094,94,Ideal would be project selector,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N095,95,Address of release localhost run in node details – click to open in new tab,I12,".NET runtime, launch profile, and localhost nodes",12_dotnet-runtime-and-localhost-nodes,docx
N096,96,"Apply Migration EF (add, update, etc)",I13,EF migrations and Tailwind watch nodes,13_migrations-and-tailwind-watch,docx
N097,97,Select or input of command I call from ps for some migrations,I13,EF migrations and Tailwind watch nodes,13_migrations-and-tailwind-watch,docx
N098,98,Tailwind watch run (for projects that use tailwind),I13,EF migrations and Tailwind watch nodes,13_migrations-and-tailwind-watch,docx
N099,99,Command how to run in ps tailwind for that specific project,I13,EF migrations and Tailwind watch nodes,13_migrations-and-tailwind-watch,docx
N100,100,Remote Server (common block),I14,Remote server core model,14_remote-server-core-model,docx
N101,101,Parameters,I14,Remote server core model,14_remote-server-core-model,docx
N102,102,"CPU, RAM, HDD/SSD cap, etc.",I14,Remote server core model,14_remote-server-core-model,docx
N103,103,Price and business related info,I14,Remote server core model,14_remote-server-core-model,docx
N104,104,Address,I14,Remote server core model,14_remote-server-core-model,docx
N105,105,Provider,I14,Remote server core model,14_remote-server-core-model,docx
N106,106,Link to provider website,I14,Remote server core model,14_remote-server-core-model,docx
N107,107,Link to login,I14,Remote server core model,14_remote-server-core-model,docx
N108,108,SSH connection (we need terminal component),I14,Remote server core model,14_remote-server-core-model,docx
N109,109,Connection to secret for login,I14,Remote server core model,14_remote-server-core-model,docx
N110,110,Account name,I14,Remote server core model,14_remote-server-core-model,docx
N111,111,Connected Domains,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N112,112,Domain name,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N113,113,Owner,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N114,114,DNS Records,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N115,115,Docker type (compose vs swarm),I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N116,116,Proxy provider,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N117,117,"Nginx, traefik, etc.",I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N118,118,Database,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N119,119,"Type, connection",I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N120,120,Deployment folder,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N121,121,Keys,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N122,122,AI,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N123,123,ChatGPT conversation link,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N124,124,Codex thread link,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N125,125,Local LLM,I15,"Domains, DNS, Docker, database, keys, and AI links",15_domains-dns-docker-database-keys-ai-links,docx
N126,126,Common,I16,"Progress, priority, and marker UX normalization",16_progress-priority-marker-ux,docx
N127,127,Left click on Progress icon in node must show only selector of priority,I16,"Progress, priority, and marker UX normalization",16_progress-priority-marker-ux,docx
N128,128,Markers and progress main circle in right click menu must have larger diameter,I16,"Progress, priority, and marker UX normalization",16_progress-priority-marker-ux,docx
N129,129,Unconnect node and connect it to some different node,I17,"Relationship editing, delete behavior, and borders",17_relationship-editing-delete-and-border-behavior,docx
N130,130,"Delete (simple note without confirmation, more complex with confirmation)",I17,"Relationship editing, delete behavior, and borders",17_relationship-editing-delete-and-border-behavior,docx
N131,131,Drag and drop node to some border with other nodes,I17,"Relationship editing, delete behavior, and borders",17_relationship-editing-delete-and-border-behavior,docx
N132,132,Name for borders,I17,"Relationship editing, delete behavior, and borders",17_relationship-editing-delete-and-border-behavior,docx
N133,133,Connection between nodes with additional arrow,I18,"Arrow links, side-aware placement, and mindmap image export",18_arrow-links-side-aware-placement-and-export-image,docx
N134,134,Export mindmap as image,I18,"Arrow links, side-aware placement, and mindmap image export",18_arrow-links-side-aware-placement-and-export-image,docx
N135,135,"Node should be placed on the side where it should connect. For example if I move some node to left side of the canvas, it connects to parent node from right side, then I add new node that is connected under that node, it connects it from left side, but place it on right side of the node. It must place it to side where it is connected.",I18,"Arrow links, side-aware placement, and mindmap image export",18_arrow-links-side-aware-placement-and-export-image,docx
N136,136,Controls,I19,"Progress summary modal, tree checklist, and exports",19_progress-summary-modal-and-exports,docx
N137,137,Progress summary,I19,"Progress summary modal, tree checklist, and exports",19_progress-summary-modal-and-exports,docx
N138,138,For nodes that have some nodes under it automated display of summary checklist of state items under it,I19,"Progress summary modal, tree checklist, and exports",19_progress-summary-modal-and-exports,docx
N139,139,"Click to button in props panel or right-click menu item => open modal with summary status, checklist of all statuses of items under it (as tree view), possibility to change status in that list (each item has on its line button with dropdown selector of progress)",I19,"Progress summary modal, tree checklist, and exports",19_progress-summary-modal-and-exports,docx
N140,140,Posibility to export as xlsx,I19,"Progress summary modal, tree checklist, and exports",19_progress-summary-modal-and-exports,docx
N141,141,Export as mermaid gantt graph,I19,"Progress summary modal, tree checklist, and exports",19_progress-summary-modal-and-exports,docx
N142,142,Prompt factory,I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N143,143,Components,I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N144,144,Better search of components,I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N145,145,It must work as toolbar in visual studio\,I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N146,146,"Mouseover on icon of eye on component line show inside canvas popup floating window on available side (if right available, then prefer it) with text of component.",I22,Prompt Factory eye-preview popover,22_prompt-factory-component-preview-eye-popover,docx
N147,147,"Toolbar with components must be available as classic floating window toolbar inside of canvas, that I can show/hide, pin, move, etc.",I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N148,148,Inside accordeons with sections of prompts components,I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N149,149,Search bar on top,I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N150,150,Vartical Scrollbar inside if too much component/sections are in it. Toolbar window must fit always into visible canvas,I21,Prompt Factory components toolbox redesign,21_prompt-factory-components-toolbox-redesign,docx
N151,151,NOTE: Similar toolbar also for standard blocks in project structure,I23,Project Structure standard blocks toolbox,23_project-structure-standard-blocks-toolbox,docx
N152,152,Bugs:,I24,Prompt Factory intermittent 44-node insertion bugfix,24_prompt-factory-44-node-bugfix,docx
N153,153,"Adding of any component wants to add 44 nodes (happens just sometimes, like 4/5 situations).",I24,Prompt Factory intermittent 44-node insertion bugfix,24_prompt-factory-44-node-bugfix,docx
