item_id,item_title,note_id,note_text,mapping_rationale
I04,"Recording, transcript, and LLM-backed actions",N027,Recording,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N028,Usually under some meeting block,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N029,Right click Menu options,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N030,Create transcript,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N031,Transcript,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N032,"Usually under some recording node, but can be separately (for example someone will send me transcript to email","Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N033,Right click menu options,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N034,Summarize,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N035,Find my tasks,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N036,Find others delivery to me,"Primary implementation home for recording, transcript, and llm-backed actions."
I04,"Recording, transcript, and LLM-backed actions",N037,All those actions with confirmation because it must send request to LLM (selector OpenAI API vs Local Ollama),"Primary implementation home for recording, transcript, and llm-backed actions."
I05,Participants and CRM-lite registry,N040,Prarticipants,Primary implementation home for participants and crm-lite registry.
I05,Participants and CRM-lite registry,N041,HR,Primary implementation home for participants and crm-lite registry.
I05,Participants and CRM-lite registry,N042,From CRM (need to add at least basic crm module),Primary implementation home for participants and crm-lite registry.
I05,Participants and CRM-lite registry,N043,Team block (for example as start of organization chart),Primary implementation home for participants and crm-lite registry.
I05,Participants and CRM-lite registry,N044,"Team Section (for example HW department, etc.)",Primary implementation home for participants and crm-lite registry.
I05,Participants and CRM-lite registry,N045,Freelancer,Primary implementation home for participants and crm-lite registry.
I05,Participants and CRM-lite registry,N046,Partner,Primary implementation home for participants and crm-lite registry.
I05,Participants and CRM-lite registry,N047,AI Agent,Primary implementation home for participants and crm-lite registry.
I06,"Task, issue, and assignment model",N048,Tasks,"Primary implementation home for task, issue, and assignment model."
I06,"Task, issue, and assignment model",N049,Task,"Primary implementation home for task, issue, and assignment model."
I06,"Task, issue, and assignment model",N050,"What, when, who (for already added HRs offered selector)","Primary implementation home for task, issue, and assignment model."
I06,"Task, issue, and assignment model",N051,Issue,"Primary implementation home for task, issue, and assignment model."
I06,"Task, issue, and assignment model",N052,Possible link to repo,"Primary implementation home for task, issue, and assignment model."
I06,"Task, issue, and assignment model",N053,Or pure description,"Primary implementation home for task, issue, and assignment model."
I06,"Task, issue, and assignment model",N054,Attachments,"Primary implementation home for task, issue, and assignment model."
I07,"Attachments, feedback, payment, and send flows",N055,Video,"Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N056,"Screenshot (take last captured screenshot, or from clipboard)","Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N057,Log,"Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N058,notes,"Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N059,Revision,"Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N060,Feedback,"Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N061,Payment,"Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N062,Send,"Primary implementation home for attachments, feedback, payment, and send flows."
I07,"Attachments, feedback, payment, and send flows",N063,"With selector for File, Offer, Email, Message (plus channel), invoice, money, etc.","Primary implementation home for attachments, feedback, payment, and send flows."
I08,Typed file nodes and Mermaid viewer,N064,Files,Primary implementation home for typed file nodes and mermaid viewer.
I08,Typed file nodes and Mermaid viewer,N065,"Own menu item for pdf, excel, docx, txt, json, md",Primary implementation home for typed file nodes and mermaid viewer.
I08,Typed file nodes and Mermaid viewer,N066,"Each of those files nodes must have proper color (pdf red, excel green, docx blue, txt, json and similar probably gray with icon/text of type, etc)",Primary implementation home for typed file nodes and mermaid viewer.
I08,Typed file nodes and Mermaid viewer,N067,Mermaid (plus viewer),Primary implementation home for typed file nodes and mermaid viewer.
I08,Typed file nodes and Mermaid viewer,N068,Auto identification of graph type and info about it on node.,Primary implementation home for typed file nodes and mermaid viewer.
I09,Repository nodes and resource integration,N069,Repository,Primary implementation home for repository nodes and resource integration.
I09,Repository nodes and resource integration,N070,Remote,Primary implementation home for repository nodes and resource integration.
I09,Repository nodes and resource integration,N071,GitHub connection,Primary implementation home for repository nodes and resource integration.
I09,Repository nodes and resource integration,N072,Selection of specific repositoriy,Primary implementation home for repository nodes and resource integration.
I09,Repository nodes and resource integration,N073,Local,Primary implementation home for repository nodes and resource integration.
I09,Repository nodes and resource integration,N074,OpenFolder dialog,Primary implementation home for repository nodes and resource integration.
I10,Script nodes and terminal execution surface,N075,Scripts,Primary implementation home for script nodes and terminal execution surface.
I10,Script nodes and terminal execution surface,N076,Add PS script,Primary implementation home for script nodes and terminal execution surface.
I10,Script nodes and terminal execution surface,N077,Console script,Primary implementation home for script nodes and terminal execution surface.
I10,Script nodes and terminal execution surface,N078,All with button to “Open terminal” (automatically in work folder),Primary implementation home for script nodes and terminal execution surface.
I11,Python environment nodes,N079,Environments,Primary implementation home for python environment nodes.
I11,Python environment nodes,N080,Python Environment,Primary implementation home for python environment nodes.
I11,Python environment nodes,N081,"Provider (python, conda)",Primary implementation home for python environment nodes.
I11,Python environment nodes,N082,"Name, etc.",Primary implementation home for python environment nodes.
I12,".NET runtime, launch profile, and localhost nodes",N083,Dotnet related,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N084,Project default launch profile,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N085,Project selector,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N086,Then auto parse of launchprofile to get default addresses,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N087,localhost run in node details – click to open in new tab,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N088,Dotnetwatch,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N089,Command to run specific project in dotnetwatch,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N090,Ideal would be project selector,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N091,Specify http vs https,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N092,Run Release,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N093,Specify http vs https,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N094,Ideal would be project selector,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I12,".NET runtime, launch profile, and localhost nodes",N095,Address of release localhost run in node details – click to open in new tab,"Primary implementation home for .net runtime, launch profile, and localhost nodes."
I13,EF migrations and Tailwind watch nodes,N096,"Apply Migration EF (add, update, etc)",Primary implementation home for ef migrations and tailwind watch nodes.
I13,EF migrations and Tailwind watch nodes,N097,Select or input of command I call from ps for some migrations,Primary implementation home for ef migrations and tailwind watch nodes.
I13,EF migrations and Tailwind watch nodes,N098,Tailwind watch run (for projects that use tailwind),Primary implementation home for ef migrations and tailwind watch nodes.
I13,EF migrations and Tailwind watch nodes,N099,Command how to run in ps tailwind for that specific project,Primary implementation home for ef migrations and tailwind watch nodes.
I14,Remote server core model,N100,Remote Server (common block),Primary implementation home for remote server core model.
I14,Remote server core model,N101,Parameters,Primary implementation home for remote server core model.
I14,Remote server core model,N102,"CPU, RAM, HDD/SSD cap, etc.",Primary implementation home for remote server core model.
I14,Remote server core model,N103,Price and business related info,Primary implementation home for remote server core model.
I14,Remote server core model,N104,Address,Primary implementation home for remote server core model.
I14,Remote server core model,N105,Provider,Primary implementation home for remote server core model.
I14,Remote server core model,N106,Link to provider website,Primary implementation home for remote server core model.
I14,Remote server core model,N107,Link to login,Primary implementation home for remote server core model.
I14,Remote server core model,N108,SSH connection (we need terminal component),Primary implementation home for remote server core model.
I14,Remote server core model,N109,Connection to secret for login,Primary implementation home for remote server core model.
I14,Remote server core model,N110,Account name,Primary implementation home for remote server core model.
I15,"Domains, DNS, Docker, database, keys, and AI links",N111,Connected Domains,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N112,Domain name,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N113,Owner,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N114,DNS Records,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N115,Docker type (compose vs swarm),"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N116,Proxy provider,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N117,"Nginx, traefik, etc.","Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N118,Database,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N119,"Type, connection","Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N120,Deployment folder,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N121,Keys,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N122,AI,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N123,ChatGPT conversation link,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N124,Codex thread link,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I15,"Domains, DNS, Docker, database, keys, and AI links",N125,Local LLM,"Primary implementation home for domains, dns, docker, database, keys, and ai links."
I16,"Progress, priority, and marker UX normalization",N126,Common,"Primary implementation home for progress, priority, and marker ux normalization."
I16,"Progress, priority, and marker UX normalization",N127,Left click on Progress icon in node must show only selector of priority,"Primary implementation home for progress, priority, and marker ux normalization."
I16,"Progress, priority, and marker UX normalization",N128,Markers and progress main circle in right click menu must have larger diameter,"Primary implementation home for progress, priority, and marker ux normalization."
I17,"Relationship editing, delete behavior, and borders",N129,Unconnect node and connect it to some different node,"Primary implementation home for relationship editing, delete behavior, and borders."
I17,"Relationship editing, delete behavior, and borders",N130,"Delete (simple note without confirmation, more complex with confirmation)","Primary implementation home for relationship editing, delete behavior, and borders."
I17,"Relationship editing, delete behavior, and borders",N131,Drag and drop node to some border with other nodes,"Primary implementation home for relationship editing, delete behavior, and borders."
I17,"Relationship editing, delete behavior, and borders",N132,Name for borders,"Primary implementation home for relationship editing, delete behavior, and borders."
I18,"Arrow links, side-aware placement, and mindmap image export",N133,Connection between nodes with additional arrow,"Primary implementation home for arrow links, side-aware placement, and mindmap image export."
I18,"Arrow links, side-aware placement, and mindmap image export",N134,Export mindmap as image,"Primary implementation home for arrow links, side-aware placement, and mindmap image export."
I18,"Arrow links, side-aware placement, and mindmap image export",N135,"Node should be placed on the side where it should connect. For example if I move some node to left side of the canvas, it connects to parent node from right side, then I add new node that is connected under that node, it connects it from left side, but place it on right side of the node. It must place it to side where it is connected.","Primary implementation home for arrow links, side-aware placement, and mindmap image export."
I19,"Progress summary modal, tree checklist, and exports",N136,Controls,"Primary implementation home for progress summary modal, tree checklist, and exports."
I19,"Progress summary modal, tree checklist, and exports",N137,Progress summary,"Primary implementation home for progress summary modal, tree checklist, and exports."
I19,"Progress summary modal, tree checklist, and exports",N138,For nodes that have some nodes under it automated display of summary checklist of state items under it,"Primary implementation home for progress summary modal, tree checklist, and exports."
I19,"Progress summary modal, tree checklist, and exports",N139,"Click to button in props panel or right-click menu item => open modal with summary status, checklist of all statuses of items under it (as tree view), possibility to change status in that list (each item has on its line button with dropdown selector of progress)","Primary implementation home for progress summary modal, tree checklist, and exports."
I19,"Progress summary modal, tree checklist, and exports",N140,Posibility to export as xlsx,"Primary implementation home for progress summary modal, tree checklist, and exports."
I19,"Progress summary modal, tree checklist, and exports",N141,Export as mermaid gantt graph,"Primary implementation home for progress summary modal, tree checklist, and exports."
I21,Prompt Factory components toolbox redesign,N142,Prompt factory,Primary implementation home for prompt factory components toolbox redesign.
I21,Prompt Factory components toolbox redesign,N143,Components,Primary implementation home for prompt factory components toolbox redesign.
I21,Prompt Factory components toolbox redesign,N144,Better search of components,Primary implementation home for prompt factory components toolbox redesign.
I21,Prompt Factory components toolbox redesign,N145,It must work as toolbar in visual studio\,Primary implementation home for prompt factory components toolbox redesign.
I21,Prompt Factory components toolbox redesign,N147,"Toolbar with components must be available as classic floating window toolbar inside of canvas, that I can show/hide, pin, move, etc.",Primary implementation home for prompt factory components toolbox redesign.
I21,Prompt Factory components toolbox redesign,N148,Inside accordeons with sections of prompts components,Primary implementation home for prompt factory components toolbox redesign.
I21,Prompt Factory components toolbox redesign,N149,Search bar on top,Primary implementation home for prompt factory components toolbox redesign.
I21,Prompt Factory components toolbox redesign,N150,Vartical Scrollbar inside if too much component/sections are in it. Toolbar window must fit always into visible canvas,Primary implementation home for prompt factory components toolbox redesign.
I22,Prompt Factory eye-preview popover,N146,"Mouseover on icon of eye on component line show inside canvas popup floating window on available side (if right available, then prefer it) with text of component.",Primary implementation home for prompt factory eye-preview popover.
I23,Project Structure standard blocks toolbox,N151,NOTE: Similar toolbar also for standard blocks in project structure,Primary implementation home for project structure standard blocks toolbox.
I24,Prompt Factory intermittent 44-node insertion bugfix,N152,Bugs:,Primary implementation home for prompt factory intermittent 44-node insertion bugfix.
I24,Prompt Factory intermittent 44-node insertion bugfix,N153,"Adding of any component wants to add 44 nodes (happens just sometimes, like 4/5 situations).",Primary implementation home for prompt factory intermittent 44-node insertion bugfix.
