field_id,source_path,type,writer,readers,persisted,format_version,current_example_redacted,comparison,trust_boundary,migration_owner,host_bound,status,notes
MAF-002,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/MafRuntimePathResolver.cs,physical workspace root plus logical child,runtime composition,MAF runtime tools,no,runtime-v0,<root> + <logical-path>,currently OrdinalIgnoreCase on every OS,runtime capability boundary,A01/A02,yes,Classified,Containment comparer must come from physical root policy
MAF-003,src/MAF/Common/CanDoItAll.AgentFramework.Persistence/Storage/FileSandboxWorkspaceStorageLayout.cs,physical sandbox root,workspace persistence composition,MAF persistence,yes,workspace-layout-v1,<host-root>,host filesystem semantics,workspace owner,A03,yes,Classified,Relocation requires record migration or explicit source host
MAF-004,src/MAF/Common/CanDoItAll.AgentFramework.Maf/Runtime/Capabilities/MafRuntimeCapabilityConfiguration.cs,command working directory skill root and RAG root,capability catalog/editor,MAF runtime,yes,capability-config-json-v1,<redacted-command-and-roots>,typed identity plus logical/physical boundary,capability administrator,B00/B01,yes,Classified,Runtime bundle compiles these strings into typed plans
MAF-005,src/MAF/Workflows/CanDoItAll.AgentFramework.Workflows.Templates/WorkflowTemplateDocuments.cs,logical template-relative path,template loader,workflow template materializer,yes,workflow-template-v1,templates/workflow.json,ordinal logical path,template publisher,A01,no,Classified,Must use canonical slash serialization
MAF-006,src/Modules/CanDoItAll.Modules.AgentFramework/Persistence/PersistentWorkflowStores.cs,artifact storage locator,workflow persistence,workflow evidence/source provider,yes,workflow-artifact-db-v1,<storage-locator>,locator-kind semantics,workflow authorization,A03/B06,no,Classified,Must not leak a host absolute path into receipts
WB-001,src/Modules/CanDoItAll.Modules.Workbench/Workbench/ProjectWorkbenchModels.cs,metadata JSON containing path/runtime fields,ProjectWorkbench services,Workbench renderers launchers and file services,yes,project-structure-metadata-json-v1,<metadata-json>,field-specific mixed semantics,project editor,B00/B02,yes,Classified,Includes OutputRoot ProductRoot TargetRoot RepositoryRoot WorkspaceRoot LocalPath RelativePath ExternalPath ScriptPath WorkingDirectory and commands
WB-002,src/Modules/CanDoItAll.Modules.Workbench/Workbench/ProjectWorkbenchMetadata.cs,logical storage prefix and URLs,project editor,Workbench storage and UI,yes,project-structure-metadata-json-v1,<logical-prefix-or-url>,ordinal logical or URI semantics,project editor,A01/B02,no,Classified,URLs remain URI values; storage prefix becomes a logical path
MGR-001,tools/App/CanDoItAll.Manager/ManagerOptions.cs,physical roots project paths command and working directory,IConfiguration,Manager watch Tailwind tuning and artifact services,no,manager-config-v1,<redacted-manager-values>,currently Windows-shaped and mixed,operator,B00/B03,yes,Classified,All defaults use backslashes and execution strings need typed plans
PROC-001,src/Processes/CanDoItAll.Processes.Templates/ProcessTemplateExecutionContracts.cs,script reference and launch-variable names,process template publisher,Processes runtime,yes,process-template-v1,<script-ref>,logical reference plus explicit script mode,template publisher,B02/B06,no,Classified,ScriptRef is not an executable command string
FT-001,src/Integration/CanDoItAll.FileTools.Integration.Abstractions/FileToolsBrowseContracts.cs,typed logical storage root,Workbench/FileTools binding source,FileTools integration,no,filetools-binding-v1,<logical-root>,ordinal logical locator,workspace authorization,A01/B05,no,Classified,Existing typed wrapper must align with canonical logical-path contract
GIT-001,src/Foundation/CanDoItAll.Git/GitRepositoryPath.cs,repository-relative plus physical full path,Git path factory,Git services,no,git-path-v1,<relative>|<host-full-path>,logical ordinal plus host filesystem,repository authorization,A01/A02,yes,Classified,Keep explicit separation of the two representations
