user_story_id,category,summary,primary_subbundles,related_canDoItAll_areas,validation_layers
CRM-15,CRM,"As a sales operations analyst, I can filter opportunities by stage, owner, delivery unit, partner, and customer so the pipeline is explorable.",B05,,component; integration; playwright
CRM-16,CRM,"As an account manager, I can maintain renewal and upsell opportunities separately from net-new work so account growth is visible.",B05,,component; integration; playwright
CRM-17,CRM,"As a commercial lead, I can store commercial notes, constraints, and timing risks on an opportunity so pursuits are actionable.",B04,,component; playwright
CRM-18,CRM,"As a business director, I can see account summaries and open opportunities from the CRM/HR home screen so I do not have to reconstruct pipeline from projects.",B02; B05,BaseLib UI components; Shell navigation and workspace,component; integration; playwright
CRM-19,CRM,"As a sales assistant, I can search across opportunities and accounts from one CRM workspace so navigation is fast.",B02,Activity and global search,component; playwright
CRM-20,CRM,"As a commercial operations lead, I can receive reminders for overdue next actions so opportunities do not stall silently.",B04; B11,Automation workspace,component; integration; playwright
CRM-21,CRM,"As a vendor manager, I can manage partner and vendor organizations in the same registry as customers so external company handling is unified.",B04,Resources module,component; playwright
CRM-22,CRM,"As a delivery manager, I can see primary customer, partner, and sponsor data on project-related surfaces so operational teams stay commercially aware.",B04; B10,Projects module,component; integration; playwright
CRM-23,CRM,"As an account manager, I can convert a prospect account into an active customer without creating a duplicate record so lifecycle changes stay on the same party.",B04,,component; playwright
CRM-24,CRM,"As a sales director, I can view stage history and recent movement on opportunities so forecast quality and stagnation are visible.",B05,,component; integration; playwright
HR-01,HR,"As a people ops manager, I can create an employee profile from the unified party model so one person can exist in HR, CRM, and projects at the same time.",B06,,component; integration; playwright
HR-02,HR,"As a people ops manager, I can create contractor and freelancer profiles with separate employment metadata so external workforce handling is explicit.",B06,,component; integration; playwright
HR-03,HR,"As a delivery director, I can create delivery units and internal teams as parties so staffing can use organizations as well as people.",B06,,component; integration; playwright
HR-04,HR,"As an HR manager, I can assign manager relationships and home unit membership so org structure is maintained.",B06,,component; integration; playwright
HR-05,HR,"As an HR manager, I can store start date, end date, employment type, and lifecycle state so workforce records reflect reality.",B06,,component; integration; playwright
HR-06,HR,"As an HR manager, I can maintain job title, discipline, seniority, and location so staffing data is useful.",B06,,component; integration; playwright
HR-07,HR,"As a capability lead, I can maintain a person’s skills so staffing and delivery planning can search by competence.",B07,,component; integration; playwright
HR-08,HR,"As a capability lead, I can record skill proficiency so staffing decisions are not binary.",B07,,component; integration; playwright
HR-09,HR,"As a capability lead, I can record certifications and important qualifications so regulated or specialized work can find compliant people.",B07,,component; integration; playwright
HR-10,HR,"As a resource manager, I can record capacity and default weekly availability so bench and load views are grounded.",B07,,component; integration; playwright
HR-11,HR,"As a resource manager, I can block leave, partial availability, and unavailability windows so plans reflect real capacity.",B07,,component; integration; playwright
HR-12,HR,"As a resource manager, I can see who is on the bench or nearing availability so I can staff new work.",B07,,component; integration; playwright
HR-13,HR,"As a project manager, I can request staffing from HR with desired role, skills, dates, and allocation so demand is structured.",B07,,component; integration; playwright
HR-14,HR,"As a resource manager, I can allocate a person or delivery unit to a project with a percentage and dates so staffing commitments are explicit.",B07; B10,,component; integration; playwright
HR-15,HR,"As a delivery manager, I can see current and future allocations for a person, contractor, or delivery unit so overloads are visible.",B07; B10,,component; integration; playwright
HR-16,HR,"As a people ops manager, I can mark a primary delivery unit or home team for a worker so reporting lines and staffing ownership are clear.",B06,,component; integration; playwright
HR-17,HR,"As a finance partner, I can store internal cost rate and external billing-rate range for a worker or delivery unit so staffing economics are visible without becoming a payroll system.",B06,,component; integration; playwright
HR-18,HR,"As a delivery lead, I can search workforce by skill, location, seniority, and availability so I can assemble delivery teams faster.",B07,BaseLib UI components,component; integration; playwright
HR-19,HR,"As a recruiter, I can create a candidate record in the same unified registry so future employees and contractors do not start in a disconnected tool.",B08,,component; integration; playwright
HR-20,HR,"As a recruiter, I can track candidate stage from sourced to hired or rejected so recruitment progress is visible.",B08,,component; integration; playwright
HR-21,HR,"As a recruiter, I can schedule interviews and record interview dates so hiring coordination is structured.",B08,,component; integration; playwright
HR-22,HR,"As a hiring manager, I can capture interview feedback and recommendation so decision quality is documented.",B08,,component; integration; playwright
HR-23,HR,"As a people ops manager, I can convert a hired candidate into an employee or contractor profile so recruiting handoff is seamless.",B08,,component; integration; playwright
HR-24,HR,"As a people ops manager, I can create onboarding tasks with owner and due date so new joiners do not rely on ad hoc follow-up.",B08,Automation workspace,component; integration; playwright
HR-25,HR,"As a people ops manager, I can create offboarding tasks with owner and due date so exits are controlled.",B08,Automation workspace,component; integration; playwright
HR-26,HR,"As a mentor coordinator, I can assign manager, buddy, or mentor relationships for onboarding so support roles are visible.",B08,,component; integration; playwright
HR-27,HR,"As an IT coordinator, I can track access and equipment checklist items during onboarding or offboarding so delivery readiness is observable.",B08,,component; integration; playwright
HR-28,HR,"As a people ops manager, I can keep HR-only notes separate from general party notes so sensitive information is handled more carefully.",B12,,component; integration; playwright
HR-29,HR,"As a vendor manager, I can represent a subcontractor company and the individual subcontractor separately so commercial and operational relationships are not blurred.",B03; B06,,component; integration; playwright
HR-30,HR,"As a delivery director, I can reuse one person as employee, candidate, customer stakeholder, or partner contact when reality requires it so duplication does not grow.",B03; B06,,component; integration; playwright
HR-31,HR,"As a resource manager, I can assign a company or unit instead of a named person to early staffing placeholders so rough planning can start before individuals are known.",B07; B10,,component; integration; playwright
HR-32,HR,"As a delivery director, I can see demand versus available capacity by team or delivery unit so staffing risks surface early.",B07,,component; integration; playwright
HR-33,HR,"As a people ops analyst, I can search for expiring assignments, onboarding items, and contract end dates so HR follow-up becomes proactive.",B07,Automation workspace,component; integration; playwright
HR-34,HR,"As an HR manager, I can reactivate former workers or contractors when they return so historical context is preserved.",B06,,component; integration; playwright
HR-35,HR,"As a project manager, I can view allocated people and units per project from the HR side so staffing ownership is bidirectional.",B02; B07,Projects module,component; integration; playwright
HR-36,HR,"As a capability lead, I can group workers by discipline and capability area so capability health is reviewable.",B06,,component; integration; playwright
AI-01,AI,"As an AI operations lead, I can register an AI agent as a first-class party so the app can assign and report on agents like people or companies.",B09,Workspace providers and AI execution,component; integration; playwright
AI-02,AI,"As an AI operations lead, I can link an AI agent profile to a Workspace provider profile and default model so operational configuration is connected to the directory.",B09,Workspace providers and AI execution,component; integration; playwright
AI-03,AI,"As a solution architect, I can record agent capabilities, limitations, tool access, and scope so assignments are safe and understandable.",B09,Workspace providers and AI execution,component; integration; playwright
AI-04,AI,"As a delivery lead, I can assign a human owner or steward to an AI agent so accountability exists.",B09,Workspace providers and AI execution,component; integration; playwright
AI-05,AI,"As a project manager, I can assign an AI agent to a project, work item, or meeting follow-up so blended teams are supported.",B10,Workbench structure and calendar,component; integration; playwright
AI-06,AI,"As a quality lead, I can capture validation notes and latest review status for an AI agent so risky agents are visible.",B09,Workspace providers and AI execution,component; integration; playwright
AI-07,AI,"As a workspace administrator, I can distinguish local, remote, and third-party agents so infrastructure and risk posture are explicit.",B09,Workspace providers and AI execution,component; integration; playwright
AI-08,AI,"As a delivery lead, I can search agents in the same directory and assignment flows as people so blended staffing stays unified.",B02; B09,Shell navigation and workspace; Workspace providers and AI execution,component; integration; playwright
PRJ-01,PRJ,"As a project manager, I can assign primary customer, partner, and delivery unit to a project so project context is commercially and operationally complete.",B10,Projects module,component; integration; playwright
PRJ-02,PRJ,"As a project manager, I can assign people, contractors, companies, and AI agents to a project so project staffing is unified.",B10,Projects module,component; integration; playwright
PRJ-03,PRJ,"As a project manager, I can assign responsibility for a project structure delivery node so the workbench shows who is expected to deliver it.",B10,Workbench structure and calendar,component; integration; playwright
PRJ-04,PRJ,"As a project manager, I can choose meeting participants from the unified directory so meetings reference real parties.",B10,Workbench structure and calendar,component; integration; playwright
PRJ-05,PRJ,"As a project manager, I can indicate with whom a meeting happens such as customer, partner, team, or AI agent so the structure reflects real collaboration.",B10,Workbench structure and calendar,component; integration; playwright
PRJ-06,PRJ,"As a project manager, I can assign work items from the unified directory so assignee data is reusable across project and HR views.",B10,Workbench structure and calendar,component; integration; playwright
PRJ-07,PRJ,"As a project manager, I can create a project participant node from an existing party or create a new party from the node flow so local workbench and central registry stay connected.",B10,Workbench structure and calendar,component; integration; playwright
PRJ-08,PRJ,"As a project manager, I can decide whether a participant node is centrally synced or project-local so edge cases do not block work.",B10,Workbench structure and calendar,component; integration; playwright
PRJ-09,PRJ,"As a project manager, I can see related customer, partner, delivery team, and AI agents on project overview screens so context is visible without opening the CRM/HR module first.",B10,Projects module,component; integration; playwright
PRJ-10,PRJ,"As a portfolio manager, I can filter projects by customer, delivery unit, account manager, or key stakeholder so portfolio review is relationship-aware.",B10,Projects module,component; integration; playwright
PRJ-11,PRJ,"As a sales lead, I can convert an opportunity to a project while preserving linked parties and history so handoff does not fragment data.",B05,Projects module,component; integration; playwright
PRJ-12,PRJ,"As a quality lead, I can link validation runs and test plans to responsible parties so accountability is clear.",B11,Test Lab; Validation center,integration; playwright
PRJ-13,PRJ,"As a resource owner, I can link resources to owning or maintaining parties so operational ownership is visible.",B11,Resources module,integration; playwright
PRJ-14,PRJ,"As a resource manager, I can have project allocations automatically influence HR capacity views so assignments have real staffing impact.",B07,,component; integration; playwright
PRJ-15,PRJ,"As a prompt engineer, I can reuse the same AI agent record in prompt, project, and staffing flows so agent identities stay consistent.",B10,Workbench structure and calendar,component; integration; playwright
PRJ-16,PRJ,"As a meeting facilitator, I can pull project-linked parties into meeting defaults so recurring collaboration setup is faster.",B10,Workbench structure and calendar,component; integration; playwright
X-01,X,"As a platform owner, I can add CRM / HR as a shell module with nested routes so it feels native inside CanDoItAll.",B02,Shell navigation and workspace,component; playwright
X-02,X,"As a platform owner, I can index parties, interactions, opportunities, workforce records, and agent profiles in global search so the module is discoverable.",B11,Activity and global search,integration; playwright
X-03,X,"As a platform owner, I can write activity entries for major CRM/HR changes so the timeline reflects relationship work.",B11,Activity and global search; Test Lab; Validation center,integration; playwright
X-04,X,"As a UI architect, I can implement the module with BaseLib and standard HTML only so the CRM/HR experience stays outside canvas concerns.",B02,BaseLib UI components,component; playwright
X-05,X,"As a platform owner, I can create and seed the CRM/HR schema automatically on startup so local environments remain simple.",B01,Module composition and startup,integration
X-06,X,"As a test lead, I can validate the module with unit, component, integration, and Playwright tests so regression risk stays manageable.",B13,Playwright and automated validation,component; integration; playwright
X-07,X,"As a test lead, I can require screenshot-based semantic review for UI changes so visual issues are not missed by passing tests.",B13,Playwright and automated validation,component; integration; playwright
X-08,X,"As a platform owner, I can seed default opportunity stages, relationship stages, and other lookup values so the module works immediately after startup.",B01; B11,Module composition and startup,integration; playwright
X-09,X,"As a data steward, I can use archive and safe-delete rules so historical relationships are not broken by aggressive cleanup.",B01; B12,,component; integration; playwright
X-10,X,"As a compliance lead, I can protect sensitive HR and personal data from overexposure in search and broad list screens so privacy risk is reduced.",B12,,component; integration; playwright
X-11,X,"As a compliance lead, I can audit important CRM/HR changes so the module is reviewable.",B12,Activity and global search,component; integration; playwright
X-12,X,"As a data steward, I can import and export without corrupting duplicate handling or key relationships so bulk operations remain safe.",B03,,component; integration; playwright
X-13,X,"As a platform owner, I can keep core screens performant with large directories so the module scales beyond toy usage.",B02; B13,,component; integration; playwright
X-14,X,"As an architect, I can extend the module with JSON-backed flex fields where appropriate so future requirements do not force schema explosions.",B01,,integration
X-15,X,"As an automation owner, I can trigger reminders and onboarding follow-up jobs from CRM/HR data so the module participates in operational automation.",B08; B11,Automation workspace,component; integration; playwright
X-16,X,"As a QA inspector, I can trace every user story to an implementation bundle, validation step, and evidence expectation so execution stays accountable.",B13,Playwright and automated validation,component; integration; playwright
